English	Translation	Pinyin	Hiragana	Latin Letters	Part of Speech	Stamp	OriginLanguage
Another	もう一つは		もうひとつは		Noun	[]	Japanese
Another	もう一人の		もうひとりの		Noun	[]	Japanese
Another	もう一個の		もういっこの		Noun	[]	Japanese
Another	もう一杯の		もういっぱいの		Noun	[]	Japanese
Another	他の		ほかの		Noun	[]	Japanese
Another	別の		べつの		Noun	[]	Japanese
Another	другой			drugoj	Noun	[]	Russian
Another	ещё			eŝë	Noun	[]	Russian
Another	очередно́й			ocherednoi	Noun	[]	Russian
Another	otra				Noun	[]	Spanish
Another	otras				Noun	[]	Spanish
Another	otro				Noun	[]	Spanish
Another	otros				Noun	[]	Spanish
Another Day	改天	gǎi tiān			Noun	[]	Chinese
Another One	otra				Noun	[]	Spanish
Another One	otro				Noun	[]	Spanish
Another Place	外地	wài de			Noun	[]	Chinese
Another Thing	另一件事	lìng yī jiàn shì			Noun	[]	Chinese
Another Thing	もう一つのこと		もうひとつのこと		Noun	[]	Japanese
Another Thing	еще одна вещь			esche odna vesch'	Noun	[]	Russian
Another Time	また今度		またこんど		Noun	[]	Japanese
Answer	回答	huí dá			Verb	[]	Chinese
Answer	接	jiē			Verb	[]	Chinese
Answer	答	dá			Verb	[]	Chinese
Answer	答案	dá àn			Verb	[]	Chinese
Answer	答辩	dábiàn			Verb	[]	Chinese
Answer	解决办法	jiě jué bàn fǎ			Verb	[]	Chinese
Answer	décrochez				Noun	[]	French
Answer	l'option				Noun	[]	French
Answer	répond				Noun	[]	French
Answer	répond à				Noun	[]	French
Answer	répondent				Noun	[]	French
Answer	répondent à				Noun	[]	French
Answer	répondes				Noun	[]	French
Answer	répondez				Noun	[]	French
Answer	répondez à				Noun	[]	French
Answer	répondions				Noun	[]	French
Answer	répondit				Noun	[]	French
Answer	répondons				Noun	[]	French
Answer	répondons à				Noun	[]	French
Answer	répondrai				Noun	[]	French
Answer	répondras				Noun	[]	French
Answer	répondre				Noun	[]	French
Answer	répondre de				Noun	[]	French
Answer	répondre à				Noun	[]	French
Answer	répondrez				Noun	[]	French
Answer	réponds				Noun	[]	French
Answer	réponds à				Noun	[]	French
Answer	répondu				Noun	[]	French
Answer	réponse				Noun	[]	French
Answer	solution				Noun	[]	French
Answer	Antwort				Verb	[]	German
Answer	antworte				Verb	[]	German
Answer	antworten				Verb	[]	German
Answer	antwortest				Verb	[]	German
Answer	antwortet				Verb	[]	German
Answer	antwortete				Verb	[]	German
Answer	beantworte				Verb	[]	German
Answer	beantworten				Verb	[]	German
Answer	beantwortest				Verb	[]	German
Answer	beantwortet				Verb	[]	German
Answer	das Ergebnis				Noun	[]	German
Answer	entsprechen				Verb	[]	German
Answer	erfüllen				Verb	[]	German
Answer	Ergebnis				Verb	[]	German
Answer	gehe				Verb	[]	German
Answer	gehst				Verb	[]	German
Answer	Lösung				Verb	[]	German
Answer	melden				Verb	[]	German
Answer	Reaktion				Verb	[]	German
Answer	widersprechen				Verb	[]	German
Answer	widerspricht				Verb	[]	German
Answer	zurückschreiben				Verb	[]	German
Answer	お答え		おこたえ		Noun, Suru Verb	[]	Japanese
Answer	お答えいただいて		おこたえいただいて		Noun, Suru Verb	[]	Japanese
Answer	お答えします		おこたえします		Noun, Suru Verb	[]	Japanese
Answer	お答えできません		おこたえできません		Noun, Suru Verb	[]	Japanese
Answer	お返事		おへんじ		Noun, Suru Verb	[]	Japanese
Answer	きが		きが		Noun, Suru Verb	[]	Japanese
Answer	こたえ		こたえ		Noun, Suru Verb	[]	Japanese
Answer	こたえた		こたえた		Noun, Suru Verb	[]	Japanese
Answer	こたえて		こたえて		Noun, Suru Verb	[]	Japanese
Answer	ご回答		ごかいとう		Noun, Suru Verb	[]	Japanese
Answer	反応しなかった		はんのうしなかった		Noun, Suru Verb	[]	Japanese
Answer	反応する		はんのうする		Noun, Suru Verb	[]	Japanese
Answer	叶		かのう		Noun, Suru Verb	[]	Japanese
Answer	回答		かいとう		Noun, Suru Verb	[]	Japanese
Answer	回答された		かいとうされた		Noun, Suru Verb	[]	Japanese
Answer	回答しても		かいとうしても		Noun, Suru Verb	[]	Japanese
Answer	回答します		かいとうします		Noun, Suru Verb	[]	Japanese
Answer	回答中		かいとうなか		Noun, Suru Verb	[]	Japanese
Answer	応えて		こたえて		Noun, Suru Verb	[]	Japanese
Answer	応えました		こたえました		Noun, Suru Verb	[]	Japanese
Answer	応じる		おうじる		Noun, Suru Verb	[]	Japanese
Answer	答		こたえ		Noun, Suru Verb	[]	Japanese
Answer	答え		こたえ		Noun, Suru Verb	[]	Japanese
Answer	答えたり		こたえたり		Noun, Suru Verb	[]	Japanese
Answer	答えて		こたえて		Noun, Suru Verb	[]	Japanese
Answer	答えていた		こたえていた		Noun, Suru Verb	[]	Japanese
Answer	答えています		こたえています		Noun, Suru Verb	[]	Japanese
Answer	答えなかった		こたえなかった		Noun, Suru Verb	[]	Japanese
Answer	答えなさい		こたえなさい		Noun, Suru Verb	[]	Japanese
Answer	答えます		こたえます		Noun, Suru Verb	[]	Japanese
Answer	答えませんでした		こたえませんでした		Noun, Suru Verb	[]	Japanese
Answer	答えよう		こたえよう		Noun, Suru Verb	[]	Japanese
Answer	答えられた		こたえられた		Noun, Suru Verb	[]	Japanese
Answer	答えられなかった		こたえられなかった		Noun, Suru Verb	[]	Japanese
Answer	答える		こたえる		Noun, Suru Verb	[]	Japanese
Answer	答案		とうあん		Noun, Suru Verb	[]	Japanese
Answer	解いていません		といていません		Noun, Suru Verb	[]	Japanese
Answer	解きなさい		ときなさい		Noun, Suru Verb	[]	Japanese
Answer	解きませんか		ときませんか		Noun, Suru Verb	[]	Japanese
Answer	解こう		とこう		Noun, Suru Verb	[]	Japanese
Answer	返事		へんじ		Noun, Suru Verb	[]	Japanese
Answer	返事します		へんじします		Noun, Suru Verb	[]	Japanese
Answer	返事する		へんじする		Noun, Suru Verb	[]	Japanese
Answer	返信し		へんしんし		Noun, Suru Verb	[]	Japanese
Answer	返信した		へんしんした		Noun, Suru Verb	[]	Japanese
Answer	返信したら		へんしんしたら		Noun, Suru Verb	[]	Japanese
Answer	返信して		へんしんして		Noun, Suru Verb	[]	Japanese
Answer	返信しなかった		へんしんしなかった		Noun, Suru Verb	[]	Japanese
Answer	返信しました		へんしんしました		Noun, Suru Verb	[]	Japanese
Answer	返信します		へんしんします		Noun, Suru Verb	[]	Japanese
Answer	返信しよう		へんしんしよう		Noun, Suru Verb	[]	Japanese
Answer	返答します		へんとうします		Noun, Suru Verb	[]	Japanese
Answer	отве́т			otvet	Noun	[]	Russian
Answer	ответ			otvet	Noun	[]	Russian
Answer	ответить			otvetitʹ	Noun	[]	Russian
Answer	atendemos				Noun	[]	Spanish
Answer	atender				Noun	[]	Spanish
Answer	atendieron				Noun	[]	Spanish
Answer	atiende				Noun	[]	Spanish
Answer	atiendo				Noun	[]	Spanish
Answer	contesta				Noun	[]	Spanish
Answer	contestar				Noun	[]	Spanish
Answer	contestara				Noun	[]	Spanish
Answer	contestará				Noun	[]	Spanish
Answer	contestas				Noun	[]	Spanish
Answer	contestaste				Noun	[]	Spanish
Answer	conteste				Noun	[]	Spanish
Answer	contestemos				Noun	[]	Spanish
Answer	contesto				Noun	[]	Spanish
Answer	contestó				Noun	[]	Spanish
Answer	respondamos				Noun	[]	Spanish
Answer	responde				Noun	[]	Spanish
Answer	respondemos				Noun	[]	Spanish
Answer	responden				Noun	[]	Spanish
Answer	responder				Noun	[]	Spanish
Answer	responderé				Noun	[]	Spanish
Answer	respondes				Noun	[]	Spanish
Answer	respondieron				Noun	[]	Spanish
Answer	respondiste				Noun	[]	Spanish
Answer	respondió				Noun	[]	Spanish
Answer	respondo				Noun	[]	Spanish
Answer	respondí				Noun	[]	Spanish
Answer	respuesta				Noun	[]	Spanish
Answer	respuestas				Noun	[]	Spanish
Answer	solución				Noun	[]	Spanish
Answer Back	responder				Noun	[]	Spanish
Answered	回答	huí dá			Verb	[]	Chinese
Answered	接	jiē			Verb	[]	Chinese
Answered	répondre				Verb	[]	French
Answered	répondu				Verb	[]	French
Answered	beantwortet				Verb	[]	German
Answered	contestado				Verb	[]	Spanish
Answered	contestara				Verb	[]	Spanish
Answered	contestó				Verb	[]	Spanish
Answered	respondieron				Verb	[]	Spanish
Answered	respondimos				Verb	[]	Spanish
Answered	respondiste				Verb	[]	Spanish
Answered	respondió				Verb	[]	Spanish
Answered	respondí				Verb	[]	Spanish
Answering	回答	huí dá			Verb	[]	Chinese
Answering	entsprechen				Verb	[]	German
Answering	erfüllen				Verb	[]	German
Answering	答えて		こたえて		Verb	[]	Japanese
Answering	отвечать			otvečatʹ	Verb	[]	Russian
Answering	contestar				Verb	[]	Spanish
Answering	respondiendo				Verb	[]	Spanish
Answering Back	respondiendo				Noun	[]	Spanish
Answering Machine	le répondeur				Noun	[]	French
Answering Machine	Anrufbeantworter				Noun	[]	German
Answers	回答	huí dá			Noun	[]	Chinese
Answers	répond				Noun	[]	French
Answers	répondre				Noun	[]	French
Answers	Antworten				Noun	[]	German
Answers	das Ergebnis				Noun	[]	German
Answers	Ergebnis				Noun	[]	German
Answers	回答		かいとう		Noun	[]	Japanese
Answers	答え		こたえ		Noun	[]	Japanese
Answers	答えます		こたえます		Noun	[]	Japanese
Answers	respuesta				Noun	[]	Spanish
Ant	蚂蚁	mǎ yǐ			Noun	[]	Chinese
Ant	fourmi				Noun	[]	French
Ant	Ameise				Noun	[]	German
Ant	アリ		アリ		Noun	[]	Japanese
Ant	муравей			muravej	Noun	[]	Russian
Ant	муравье			murav'e	Noun	[]	Russian
Ant	муравья			murav'ja	Noun	[]	Russian
Ant	муравьями			murav'jami	Noun	[]	Russian
Ant	муравьев			murav'ev	Noun	[]	Russian
Ant	букашкам			bukashkam	Noun	[]	Russian
Ant	hormiga				Noun	[]	Spanish
Antagonism	l'hostilité				Noun	[]	French
Antagonize	敌视	díshì			Preposition	[]	Chinese
Antarctic	南极	nán jí			Noun	[]	Chinese
Antarctica	南极	nán jí			Noun	[]	Chinese
Antarctica	l'Antarctique				Noun	[]	French
Antechamber	прихо́жая			prihozhaja	Adjective	[]	Russian
Antenna	antenne				Noun	[]	French
Antenna	Antenne				Noun	[]	German
Antennae	Fühler				Noun	[]	German
Anteroom	прихо́жая			prihozhaja	Adjective	[]	Russian
Antes	now				Noun	[]	Spanish
Antes Bien	rather				Verb	[]	Spanish
Anthem	l'hymne				Noun	[]	French
Antibacterial	antibacterial				Noun	[]	Spanish
Antibacterial Medicine	l'antibiotique				Noun	[]	French
Antibiotic	抗生素	kàng shēng sù			Noun	[]	Chinese
Antibiotic	antibiotique				Noun	[]	French
Antibiotic	l'antibiotique				Noun	[]	French
Antibiotic	antibiótico				Noun	[]	Spanish
Anticipate	意料	yìliào			Verb	[]	Chinese
Anticipate	预期	yùqī			Verb	[]	Chinese
Anticipate	わくわくします		わくわくします		Noun	[]	Japanese
Anticipate	期待します		きたいします		Noun	[]	Japanese
Anticipated	有望	yǒu wàng			Verb	[]	Chinese
Anticipated	预计	yù jì			Verb	[]	Chinese
Anticipated	预计了	yù jì le			Verb	[]	Chinese
Anticipated	anticipé				Verb	[]	French
Anticipated	anticipée				Verb	[]	French
Anticipated	l'espérait				Verb	[]	French
Anticipated	m'attendais				Verb	[]	French
Anticipated	pressentie				Verb	[]	French
Anticipated	prévu				Verb	[]	French
Anticipated	s'attendaient				Verb	[]	French
Anticipated	s'attendait				Verb	[]	French
Anticipated	t'attendais				Verb	[]	French
Anticipated	erwartet				Verb	[]	German
Anticipated	vorhersehbar				Verb	[]	German
Anticipated	vorhersehbare				Verb	[]	German
Anticipated	vorhersehbarer				Verb	[]	German
Anticipated	予想された		よそうされた		Verb	[]	Japanese
Anticipated	期待してた		きたいしてた		Verb	[]	Japanese
Anticipated	驚いていない		おどろいていない		Verb	[]	Japanese
Anticipated	ожидал			ozhidal	Verb	[]	Russian
Anticipated	anticipada				Verb	[]	Spanish
Anticipation	l'attente				Noun	[]	French
Anticipation	がら		がら		Noun, Verb, Suru Verb	[]	Japanese
Anticipation	予測		よそく		Noun, Verb, Suru Verb	[]	Japanese
Anticipation	期待		きたい		Noun, Verb, Suru Verb	[]	Japanese
Antidepressant	l'antidépresseur				Noun	[]	French
Anti-Inflammatory Drug	l'anti-inflammatoire				Noun	[]	French
Anti-Inflammatory Medicine	l'anti-inflammatoire				Noun	[]	French
Antipathy	l'antipathie				Noun	[]	French
Antiperspirant	le déodorant				Noun	[]	French
Antiperspirant	Deo				Noun	[]	German
Antique	古董	gǔdǒng			Noun	[]	Chinese
Antique	古董的	gǔ dǒng de			Noun	[]	Chinese
Antique	-ienne				Noun	[]	French
Antique	ancien				Noun	[]	French
Antique	anciennes				Noun	[]	French
Antique	anciens				Noun	[]	French
Antique	vieillir				Noun	[]	French
Antique	à l'ancienne				Noun	[]	French
Antique	Antikstück				Noun	[]	German
Antique	アンティークの		アンティークの		Noun	[]	Japanese
Antique	древний			drevnij	Noun	[]	Russian
Antique	стари́нный			starinnyi	Noun	[]	Russian
Antique	antiguo				Noun	[]	Spanish
Antiquity	Antiquité				Noun	[]	French
Antiquity	l'Antiquité				Noun	[]	French
Antisepsis	消毒		しょうどく		Noun	[]	Japanese
Antiseptic	Desinfektionsmittel				Noun	[]	German
Antiseptic Alcohol	l'alcool				Noun	[]	French
Antithetical Couplet	对联	duìlián			Noun	[]	Chinese
Antivirus	antivirus				Noun	[]	Spanish
Antivirus Software	antivirus				Noun	[]	Spanish
Antler	рог			rog	Noun	[]	Russian
Anunciar	oppressed				Noun	[]	Spanish
Anxieties	不安		ふあん		Noun	[]	Japanese
Anxiety	l'angoisse				Noun	[]	French
Anxiety	がしんぱい		がしんぱい		Noun	[]	Japanese
Anxiety	不安		ふあん		Noun	[]	Japanese
Anxiety	трево́га			trevoga	Noun	[]	Russian
Anxiety	ansiedad				Noun	[]	Spanish
Anxiety	estrés				Noun	[]	Spanish
Anxiety Or Restlessness	беспоко́йство			bespokoistvo	Noun	[]	Russian
Anxious	焦急	jiāojí			Adjective	[]	Chinese
Anxious	焦虑	jiāo lǜ			Adjective	[]	Chinese
Anxious	焦虑的	jiāo lǜ de			Adjective	[]	Chinese
Anxious	着急	zhe jí			Adjective	[]	Chinese
Anxious	agité				Adjective	[]	French
Anxious	angoissé				Adjective	[]	French
Anxious	angoissée				Adjective	[]	French
Anxious	angoissées				Adjective	[]	French
Anxious	angoissés				Adjective	[]	French
Anxious	anxieux				Adjective	[]	French
Anxious	不安		ふあん		Noun	[]	Japanese
Anxious	心配して		しんぱいして		Noun	[]	Japanese
Anxious	трево́жный			trevozhnyi	Noun	[]	Russian
Anxious	тревожный			trevozhnyi	Noun	[]	Russian
Anxious	волноваться			volnovat'sja	Noun	[]	Russian
Anxious	беспокойный			bespokoinyi	Noun	[]	Russian
Anxious	ansioso				Noun	[]	Spanish
Anxious	preocupado				Noun	[]	Spanish
Anxiously	трево́жно			trevozhno	Adverb	[]	Russian
Any	什么	shén me			Noun	[]	Chinese
Any	任	rèn			Noun	[]	Chinese
Any	任一	rèn yī			Noun	[]	Chinese
Any	任何	rèn hé			Noun	[]	Chinese
Any	任何一个	rèn hé yí gè			Noun	[]	Chinese
Any	任何的	rèn hé de			Noun	[]	Chinese
Any	任何都	rèn hé dōu			Noun	[]	Chinese
Any	任意	rènyì			Noun	[]	Chinese
Any	何	hé			Noun	[]	Chinese
Any	凡是	fánshì			Noun	[]	Chinese
Any	某一	mǒu yī			Noun	[]	Chinese
Any	某种	mǒu zhǒng			Noun	[]	Chinese
Any	都行	dōu xíng			Noun	[]	Chinese
Any	aucun				Noun	[]	French
Any	aucune				Noun	[]	French
Any	d'				Noun	[]	French
Any	des				Noun	[]	French
Any	n'importe lequel				Noun	[]	French
Any	n'importe quel				Noun	[]	French
Any	n'importe quelle				Noun	[]	French
Any	tout				Noun	[]	French
Any	ありとあらゆる		ありとあらゆる		Noun	[]	Japanese
Any	いかなる		いかなる		Noun	[]	Japanese
Any	いずれ		いずれ		Noun	[]	Japanese
Any	いずれか		いずれか		Noun	[]	Japanese
Any	いずれも		いずれも		Noun	[]	Japanese
Any	たりとも		たりとも		Noun	[]	Japanese
Any	だれか		だれか		Noun	[]	Japanese
Any	どちらでも		どちらでも		Noun	[]	Japanese
Any	どちらも		どちらも		Noun	[]	Japanese
Any	どっちでも		どっちでも		Noun	[]	Japanese
Any	どっちも		どっちも		Noun	[]	Japanese
Any	どなたか		どなたか		Noun	[]	Japanese
Any	どの		どの		Noun	[]	Japanese
Any	どれか		どれか		Noun	[]	Japanese
Any	どれでも		どれでも		Noun	[]	Japanese
Any	どれも		どれも		Noun	[]	Japanese
Any	どんな		どんな		Noun	[]	Japanese
Any	なにか		なにか		Noun	[]	Japanese
Any	も		も		Noun	[]	Japanese
Any	一人も		ひとりも		Noun	[]	Japanese
Any	一切		いっさい		Noun	[]	Japanese
Any	一台も		いちだいも		Noun	[]	Japanese
Any	任意		にんい		Noun	[]	Japanese
Any	何か		なにか		Noun	[]	Japanese
Any	何かしら		なにかしら		Noun	[]	Japanese
Any	何ひとつ		なにひとつ		Noun	[]	Japanese
Any	何も		なにも		Noun	[]	Japanese
Any	何らか		なんらか		Noun	[]	Japanese
Any	何一つ		なにひとつ		Noun	[]	Japanese
Any	少しでも		すこしでも		Noun	[]	Japanese
Any	少しの		すこしの		Noun	[]	Japanese
Any	自由に		じゆうに		Noun	[]	Japanese
Any	誰か		だれか		Noun	[]	Japanese
Any	какой-нибудь			kakoj-nibudʹ	Noun	[]	Russian
Any	кой			koi	Noun	[]	Russian
Any	кто-нибудь			kto-nibudʹ	Noun	[]	Russian
Any	любо́й			lûboj	Noun	[]	Russian
Any	любой			lûboj	Noun	[]	Russian
Any	никакой			nikakoi	Noun	[]	Russian
Any	algo				Noun	[]	Spanish
Any	alguna				Noun	[]	Spanish
Any	algunas				Noun	[]	Spanish
Any	alguno				Noun	[]	Spanish
Any	algunos				Noun	[]	Spanish
Any	algún				Noun	[]	Spanish
Any	cualquier				Noun	[]	Spanish
Any	cualquiera				Noun	[]	Spanish
Any	más				Noun	[]	Spanish
Any	nada				Noun	[]	Spanish
Any	ninguna				Noun	[]	Spanish
Any	ninguno				Noun	[]	Spanish
Any	ningún				Noun	[]	Spanish
Any	poco				Noun	[]	Spanish
Any	un poco				Noun	[]	Spanish
Any Cats	кошек			košek	Noun	[]	Russian
Any Chance	有可能	yǒu kě néng			Noun	[]	Chinese
Any Chance	eine Chance				Noun	[]	German
Any Chance	可能性		かのうせい		Noun	[]	Japanese
Any Chance	возможность			vozmožnostʹ	Noun	[]	Russian
Any Cigarettes	Zigaretten				Noun	[]	German
Any Ducks	Enten				Noun	[]	German
Any Exercise	de l'exercice				Noun	[]	French
Any Flour	Mehl				Noun	[]	German
Any Girls	девочек			devoček	Noun	[]	Russian
Any Good	хорошие			horošie	Noun	[]	Russian
Any Juice	сока			soka	Noun	[]	Russian
Any Kind	вся́кая			vsjakaja	Adjective	[]	Russian
Any Kind Of	n'importe quelle				Noun	[]	French
Any Longer	了	le			Noun	[]	Chinese
Any Longer	désormais				Noun	[]	French
Any Longer	plus				Noun	[]	French
Any Longer	これ以上		これいじょう		Noun	[]	Japanese
Any Longer	もう		もう		Noun	[]	Japanese
Any Longer	もはや		もはや		Noun	[]	Japanese
Any Longer	больше			bolʹše	Noun	[]	Russian
Any Longer	más				Noun	[]	Spanish
Any Menace From The “rear	后顾之忧	hòugùzhīyōu			Noun	[]	Chinese
Any Milk	молока			moloka	Noun	[]	Russian
Any More	ещё			eŝë	Noun	[]	Russian
Any More	más				Noun	[]	Spanish
Any Old	n'importe lequel				Noun	[]	French
Any One	n'importe lequel				Noun	[]	French
Any One	n'importe quelle				Noun	[]	French
Any One	cualquiera				Noun	[]	Spanish
Any Other	ほかに		ほかに		Noun	[]	Japanese
Any Sons	сыновей			synovej	Noun	[]	Russian
Any Space	空き		あき		Noun	[]	Japanese
Any Time	随时	suí shí			Noun	[]	Chinese
Any Time	à tout moment				Noun	[]	French
Any Time	いつでも		いつでも		Noun	[]	Japanese
Any Time	в любое время			v ljuboe vremja	Noun	[]	Russian
Any Type Of	n'importe quelle				Noun	[]	French
Any Which Way	n'importe comment				Noun	[]	French
Anybody	任何人	rèn hé rén			Noun	[]	Chinese
Anybody	任何人都	rèn hé rén dōu			Noun	[]	Chinese
Anybody	有人	yǒu rén			Noun	[]	Chinese
Anybody	aucun				Noun	[]	French
Anybody	d'aucun				Noun	[]	French
Anybody	d'autre				Noun	[]	French
Anybody	n'importe qui				Noun	[]	French
Anybody	personne				Noun	[]	French
Anybody	quelqu'un				Noun	[]	French
Anybody	qu’un				Noun	[]	French
Anybody	人		ひと		Noun	[]	Japanese
Anybody	誰か		だれか		Noun	[]	Japanese
Anybody	誰か（疑問文、条件文）				Noun	[]	Japanese
Anybody	誰でも		だれでも		Noun	[]	Japanese
Anybody	誰にも		だれにも		Noun	[]	Japanese
Anybody	誰も		だれも		Noun	[]	Japanese
Anybody	誰（に）でも				Noun	[]	Japanese
Anybody	кто-нибудь			kto-nibudʹ	Noun	[]	Russian
Anybody	alguien				Noun	[]	Spanish
Anybody	cualquiera				Noun	[]	Spanish
Anybody	nadie				Noun	[]	Spanish
Anyhow	不管怎样	bù guǎn zěn yàng			Noun	[]	Chinese
Anyhow	随随便便地	suí suí biàn biàn dì			Noun	[]	Chinese
Anyhow	bref				Noun	[]	French
Anyhow	de toute façon				Noun	[]	French
Anyhow	とにかく		とにかく		Noun	[]	Japanese
Anyhow	в любом случае			v ljubom sluchae	Noun	[]	Russian
Anymore	不下	bù xià			Noun	[]	Chinese
Anymore	不再	bù zài			Noun	[]	Chinese
Anymore	了	le			Noun	[]	Chinese
Anymore	再也	zài yě			Noun	[]	Chinese
Anymore	plus				Noun	[]	French
Anymore	もう		もう		Noun	[]	Japanese
Anymore	больше			bolʹše	Noun	[]	Russian
Anymore	уже			uže	Noun	[]	Russian
Anymore	más				Noun	[]	Spanish
Anymore	nunca más				Noun	[]	Spanish
Anyone	任	rèn			Noun	[]	Chinese
Anyone	任何人	rèn hé rén			Noun	[]	Chinese
Anyone	有人	yǒu rén			Noun	[]	Chinese
Anyone	monde				Noun	[]	French
Anyone	n'importe qui				Noun	[]	French
Anyone	personne				Noun	[]	French
Anyone	quelqu'un				Noun	[]	French
Anyone	Irgendjemand				Noun	[]	German
Anyone	Jemanden				Noun	[]	German
Anyone	Jemandes				Noun	[]	German
Anyone	One				Noun	[]	German
Anyone	Wen				Noun	[]	German
Anyone	だれでも		だれでも		Noun	[]	Japanese
Anyone	どなたか		どなたか		Noun	[]	Japanese
Anyone	人		ひと		Noun	[]	Japanese
Anyone	何者		なにもの		Noun	[]	Japanese
Anyone	病人		びょうにん		Noun	[]	Japanese
Anyone	誰か		だれか		Noun	[]	Japanese
Anyone	誰だって		だれだって		Noun	[]	Japanese
Anyone	誰でも		だれでも		Noun	[]	Japanese
Anyone	誰とも		だれとも		Noun	[]	Japanese
Anyone	誰にでも		だれにでも		Noun	[]	Japanese
Anyone	誰にも		だれにも		Noun	[]	Japanese
Anyone	誰も		だれも		Noun	[]	Japanese
Anyone	всех			vseh	Noun	[]	Russian
Anyone	кто-нибудь			kto-nibudʹ	Noun	[]	Russian
Anyone	любой			lûboj	Noun	[]	Russian
Anyone	никто			nikto	Noun	[]	Russian
Anyone	alguien				Noun	[]	Spanish
Anyone	cualquiera				Noun	[]	Spanish
Anyone	nadie				Noun	[]	Spanish
Anyone Else	别人	bié rén			Noun	[]	Chinese
Anything	东西	dōng xī			Verb	[]	Chinese
Anything	什么	shén me			Verb	[]	Chinese
Anything	任	rèn			Verb	[]	Chinese
Anything	任何	rèn hé			Verb	[]	Chinese
Anything	任何事	rèn hé shì			Verb	[]	Chinese
Anything	d'autre				Verb	[]	French
Anything	n'importe				Verb	[]	French
Anything	n'importe quoi				Verb	[]	French
Anything	n’importe				Verb	[]	French
Anything	rien				Verb	[]	French
Anything	tous				Verb	[]	French
Anything	tout				Verb	[]	French
Anything	toute				Verb	[]	French
Anything	toutes				Verb	[]	French
Anything	alles				Verb	[]	German
Anything	etwas				Verb	[]	German
Anything	irgendetwas				Verb	[]	German
Anything	jedem				Verb	[]	German
Anything	jedes				Verb	[]	German
Anything	nichts				Verb	[]	German
Anything	どんなものでも		どんなものでも		Verb	[]	Japanese
Anything	なにも		なにも		Verb	[]	Japanese
Anything	なんか		なんか		Verb	[]	Japanese
Anything	何		なに		Verb	[]	Japanese
Anything	何か		なにか		Verb	[]	Japanese
Anything	何でも		なんでも		Verb	[]	Japanese
Anything	何も		なにも		Verb	[]	Japanese
Anything	物		もの		Verb	[]	Japanese
Anything	всё			vse	Verb	[]	Russian
Anything	нечего			nečego	Verb	[]	Russian
Anything	ничего			ničego	Verb	[]	Russian
Anything	что-либо			chto-libo	Verb	[]	Russian
Anything	что-нибудь			chto-nibud'	Verb	[]	Russian
Anything	что угодно			chto ugodno	Verb	[]	Russian
Anything	чем-нибудь			chem-nibud'	Verb	[]	Russian
Anything	что-то			chto-to	Verb	[]	Russian
Anything	algo				Verb	[]	Spanish
Anything Else	他に		ほかに		Noun	[]	Japanese
Anything Else	algo más				Noun	[]	Spanish
Anything Of	少しも		すこしも		Adverb	[]	Japanese
Anything Special	rien de spécial				Noun	[]	French
Anytime	随时	suí shí			Noun	[]	Chinese
Anytime	n'importe quand				Noun	[]	French
Anytime	いつでも		いつでも		Noun	[]	Japanese
Anyway	不管怎么	bù guǎn zěn me			Adverb	[]	Chinese
Anyway	不管怎样	bù guǎn zěn yàng			Adverb	[]	Chinese
Anyway	反正	fǎnzhèng			Adverb	[]	Chinese
Anyway	总之	zǒng zhī			Adverb	[]	Chinese
Anyway	无论如何	wú lùn rú hé			Adverb	[]	Chinese
Anyway	照样	zhàoyàng			Adverb	[]	Chinese
Anyway	起码	qǐ mǎ			Adverb	[]	Chinese
Anyway	还是	hái shì			Adverb	[]	Chinese
Anyway	bref				Adverb	[]	French
Anyway	d'ailleurs				Adverb	[]	French
Anyway	enfin				Adverb	[]	French
Anyway	quand même				Adverb	[]	French
Anyway	toujours				Adverb	[]	French
Anyway	どちらにしろ		どちらにしろ		Noun	[]	Japanese
Anyway	やっぱり		やっぱり		Noun	[]	Japanese
Anyway	やはり		やはり		Noun	[]	Japanese
Anyway	в любом случае			v ljubom sluchae	Adverb	[]	Russian
Anyway	всё равно			vse ravno	Adverb	[]	Russian
Anyway	таки			taki	Adverb	[]	Russian
Anyway	впро́чем			vprochem	Adverb	[]	Russian
Anyway	равно́			ravno	Adverb	[]	Russian
Anyway	bueno				Noun	[]	Spanish
Anyway	igual				Noun	[]	Spanish
Anywhere	任何地方	rèn hé dì fāng			Noun	[]	Chinese
Anywhere	n'importe				Noun	[]	French
Anywhere	n'importe où				Noun	[]	French
Anywhere	n’importe				Noun	[]	French
Anywhere	Nirgends				Noun	[]	German
Anywhere	どこか		どこか		Noun	[]	Japanese
Anywhere	どこかで		どこかで		Noun	[]	Japanese
Anywhere	どこかに		どこかに		Noun	[]	Japanese
Anywhere	どこかへ		どこかへ		Noun	[]	Japanese
Anywhere	どこでも		どこでも		Noun	[]	Japanese
Anywhere	どこにも		どこにも		Noun	[]	Japanese
Anywhere	где			gde	Noun	[]	Russian
Anywhere	где-нибудь			gde-nibudʹ	Noun	[]	Russian
Anywhere	где-то			gde-to	Noun	[]	Russian
Anywhere	нигде			nigde	Noun	[]	Russian
Anywhere	algún lugar				Noun	[]	Spanish
Anywhere	ningún lugar				Noun	[]	Spanish
Apaciguar	adapt				Noun	[]	Spanish
Apart	除了	chú le			Noun	[]	Chinese
Apart	à part				Noun	[]	French
Apart From	除了	chú le			Noun	[]	Chinese
Apart From	dehors				Noun	[]	French
