English	Russian	Latin Letters	Part of Speech
Cow	коро́ва	korova	Noun
Cow	корова	korova	Noun
Coward	трус	trus	Noun
Cowboy	ковбойского	kovboiskogo	Noun
Cowboy	ковбоя	kovboja	Noun
Cowboy	ковбойских	kovboiskih	Noun
Cowboy	ковбойские	kovboiskie	Noun
Cowboy	ковбоем	kovboem	Noun
Cowboy	ковбоях	kovbojah	Noun
Cowboy Kind Of Hat	шля́па	shljapa	Noun
Coworker	коллега	kollega	Noun
Coworkers'	коллег	kolleg	Noun
Cozy	ую́тный	ujutnyi	Noun
Cpsu	кпсс	kpss	Noun
Crab	крабы	kraby	Noun
Crab	краба	kraba	Noun
Crab	крабом	krabom	Noun
Crab	краб	krab	Noun
Crab	крабами	krabami	Noun
Crab	крабовый	krabovyi	Noun
Crack	тре́щина	treschina	Noun
Crack	треск	tresk	Noun
Crack	щель	schel'	Noun
Cracker	крекер	kreker	Noun
Cracker	крекерами	krekerami	Noun
Cracker	крекеров	krekerov	Noun
Cracker	крекерам	krekeram	Noun
Craftily	ло́вко	lovko	Adverb
Cram	заставля́ть	zastavljat'	Verb
Cramp	свести́	svesti	Verb
Crane	кран	kran	Noun
Crank	чуда́к	chudak	Noun
Crash Down	ру́хнуть	ruhnut'	Verb
Crash Roar Rumble Rattle	гро́хот	grohot	Noun
Crawl	ползать	polzat'	Verb
Crawl	ползти́	polzti	Verb
Crayon	карандашом	karandašom	Noun
Craziest	самый безумный	samyi bezumnyi	Noun
Crazy	безу́мный	bezumnyi	Noun
Crazy	сумасше́дший	sumasshedshii	Noun
Crazy	сумасшедший	sumasshedshii	Noun
Crazy About	без ума от	bez uma ot	Noun
Crazy About	помешан на	pomeshan na	Noun
Crazy About	увлекаться	uvlekat'sja	Noun
Crazy About	обожать	obozhat'	Noun
Crazy About	одержимый	oderzhimyi	Noun
Crazy About	увлечённый	uvlechennyi	Noun
Cream	сливок	slivok	Noun
Cream	сливки	slivki	Noun
Cream	крем	krem	Noun
Create	создать	sozdatʹ	Noun
Create Ossilarly Rhythmic Movement	кача́ть	kachat'	Verb
Creation	произведе́ние	proizvedenie	Noun
Creation	созда́ние	sozdanie	Noun
Creative	креативный	kreativnyi	Noun
Creative	тво́рческий	tvorcheskii	Noun
Creative Work	тво́рчество	tvorchestvo	Noun
Creativity	тво́рчество	tvorchestvo	Noun
Creature	существо́	suschestvo	Noun
Creature	тварь	tvar'	Noun
Creature	чудовищем	chudovischem	Noun
Creature	животном	zhivotnom	Noun
Creature	создания	sozdanija	Noun
Creature	оборотнем	oborotnem	Noun
Creature	существе	suschestve	Noun
Creature	существо	suschestvo	Noun
Creature	животному	zhivotnomu	Noun
Credit	заслуга	zasluga	Noun
Credit	кре́дит	kredit	Noun
Credit	креди́т	kredit	Noun
Credit Card	креди́тная ка́рта	kreditnaja karta	Noun
Credit Card	кредитная карта	kreditnaja karta	Noun
Creepy	жу́ткий	zhutkii	Noun
Creepy	жуткий	zhutkii	Noun
Crest	гре́бень	greben'	Noun
Crew	соста́в	sostav	Noun
Crew	экипа́ж	ekipazh	Noun
Crew	экипаж	ekipazh	Noun
Cricket	крикет	kriket	Noun
Cried	плакали	plakali	Verb
Cried	заплакали	zaplakali	Verb
Cried	плакал	plakal	Verb
Cried	заплакала	zaplakala	Verb
Cried	поплакала	poplakala	Verb
Cried	плакала	plakala	Verb
Cried	заплакал	zaplakal	Verb
Cried	расплакался	rasplakalsja	Verb
Crime	преступле́ние	prestuplenie	Noun
Crime	преступление	prestuplenie	Noun
Criminal	банди́т	bandit	Noun
Criminal	престу́пник	prestupnik	Noun
Criminal	престу́пный	prestupnyi	Noun
Criminal	преступник	prestupnik	Noun
Criminal	уголо́вный	ugolovnyi	Noun
Crimson	а́лый	alyi	Noun
Crimson	багро́вый	bagrovyi	Noun
Crisis	кри́зис	krizis	Noun
Critic	критик	kritik	Noun
Criticism	кри́тика	kritika	Noun
Criticize	критиковать	kritikovatʹ	Noun
Criticize	наехал	naehal	Noun
Criticize	раскритиковал	raskritikoval	Noun
Criticize	критикуй	kritikui	Noun
Criticize	разнёс	raznes	Noun
Criticize	критиковала	kritikovala	Noun
Crochet Needle	крючо́к	krjuchok	Noun
Crocodile	крокодил	krokodil	Noun
Crook	мошенник	mošennik	Noun
Crooked	криво́й	krivoi	Verb
Cross	крест	krest	Noun
Crossroads	перекрёсток	perekrestok	Noun
Crosswalk	пешеходный переход	peshehodnyi perehod	Noun
Crowd	толп	tolp	Noun
Crowd	публикой	publikoi	Noun
Crowd	тьме	t'me	Noun
Crowd	толпе	tolpe	Noun
Crowd	толпа	tolpa	Noun
Crowd	аудиторией	auditoriei	Noun
Crowd	толпах	tolpah	Noun
Crowd	толпу	tolpu	Noun
Crowd	толпой	tolpoi	Noun
Crowd	множеству	mnozhestvu	Noun
Crowd	толпа́	tolpa	Noun
Crowded	переполнен	perepolnen	Verb
Crown	короне	korone	Noun
Crown	увенчался	uvenchalsja	Noun
Crown	кронах	kronah	Noun
Crown	макушка	makushka	Noun
Crown	верхушке	verhushke	Noun
Crown	корона	korona	Noun
Crown	верхушку	verhushku	Noun
Crown	макушке	makushke	Noun
Crucial	важно	važno	Noun
Crucial	важный	važnyj	Noun
Crucial	отве́тственный	otvetstvennyi	Noun
Crucial	решающий	reshajuschii	Noun
Crude	сыро́й	syroi	Noun
Cruel	жесто́кий	zhestokii	Noun
Cruise	круиз	kruiz	Noun
Crush	раздави́ть	razdavit'	Verb
Crush	сжима́ть	szhimat'	Verb
Cry	кричать	kričatʹ	Verb
Cry	пла́кать	plakat'	Verb
Cry	плакать	plakat'	Verb
Cry	крик	krik	Verb
Cry	плачем	plachem	Verb
Cry	плачут	plachut	Verb
Cry	плакала	plakala	Verb
Cry Out	вскри́кнуть	vskriknut'	Verb
Crying	плач	plach	Verb
Crystal	кристалл	kristall	Noun
Cucumber	огуре́ц	ogurec	Noun
Cucumber	огурец	ogurec	Noun
Cucumber	огурца	ogurtsa	Noun
Cucumber	огуречные	ogurechnye	Noun
Cucumber	огуречный	ogurechnyi	Noun
Cuddle	объя́тие	ob'jatie	Noun
Cuisine	кухня	kuhnâ	Noun
Cultivation	разрабо́тка	razrabotka	Noun
Cultural	культу́рный	kul'turnyi	Noun
Culture	культу́ра	kul'tura	Noun
Culture	культура	kul'tura	Noun
Cunning	до́шлый	doshlyi	Verb
Cup	ча́шка	čaška	Noun
Cup	чашка	čaška	Noun
Cup Of	чашка	chashka	Noun
Cup Of	кружка	kruzhka	Noun
Cupcake	пирожное	pirozhnoe	Noun
Cupcakes	пирожные	pirozhnye	Noun
Cupcakes	пирожных	pirozhnyh	Noun
Cupola	глава́	glava	Noun
Cure	лекарство	lekarstvo	Noun
Cure	лечение	lechenie	Noun
Cure	вылечить	vylechit'	Noun
Curfew	комендантский час	komendantskii chas	Noun
Curiosity	любопы́тство	ljubopytstvo	Noun
Curious	любопы́тный	ljubopytnyi	Noun
Curious About	заинтересован в	zainteresovan v	Noun
Curl	завить	zavit'	Noun
Curly	кудрявый	kudrjavyi	Adverb
Currency	валю́та	valjuta	Noun
Currency	валюту	valjutu	Noun
Currency	валютой	valjutoi	Noun
Currency	валюты	valjuty	Noun
Currency	валюте	valjute	Noun
Currency	валюта	valjuta	Noun
Currency	монету	monetu	Noun
Currency Exchange	обмен валюты	obmen valjuty	Noun
Current	теку́щий	tekuschii	Noun
Current	текущий	tekuschii	Noun
Current	текущая	tekuschaja	Noun
Current	тече́ние	techenie	Noun
Current	ток	tok	Noun
Current Or Present-Day	ны́нешний	nyneshnii	Noun
Currently	сейчас	sejčas	Adverb
Curriculum	учебный план	uchebnyi plan	Noun
Curry	карри	karri	Noun
Cursed	прокля́тый	prokljatyi	Verb
Curtain	занаве́ска	zanaveska	Noun
Curtain	шторка	shtorka	Noun
Curtain	шторку	shtorku	Noun
Curtain	занавеской	zanaveskoi	Noun
Curtain	завесил	zavesil	Noun
Curtain	шторкой	shtorkoi	Noun
Curtain	штор	shtor	Noun
Curtain	занавес	zanaves	Noun
Curtain	шторах	shtorah	Noun
Curtain	порть	port'	Noun
Curved	криво́й	krivoi	Verb
Cushion	диванная подушка	divannaja podushka	Noun
Cushion	диванную подушку	divannuju podushku	Noun
Cushion	диванной подушке	divannoi podushke	Noun
Custom	обы́чай	obychai	Noun
Custom	обычай	obychai	Noun
Custom	традицию	traditsiju	Noun
Custom	обычаем	obychaem	Noun
Custom	традициями	traditsijami	Noun
Custom	традициям	traditsijam	Noun
Custom	обычая	obychaja	Noun
Custom	привычке	privychke	Noun
Custom	традицией	traditsiei	Noun
Customary	при́нятый	prinjatyi	Noun
Customs	поря́док	porjadok	Noun
Customs	таможенный контроль	tamozhennyi kontrol'	Noun
Cut	нарезать	narezatʹ	Verb
Cut	ре́зать	rezat'	Verb
Cut Down	срубили	srubili	Noun
Cut Myself	порезалась	porezalas'	Noun
Cut Myself	порезался	porezalsja	Noun
Cut Off	отре́зать	otrezatʹ	Verb
Cut Off	отреза́ть	otrezatʹ	Verb
Cut Off	отрезать	otrezatʹ	Verb
Cut Out	вы́резать	vyrezat'	Verb
Cut Out	выреза́ть	vyrezat'	Verb
Cute	ми́лый	milyi	Noun
Cute	славный	slavnyi	Noun
Cutlery	прибо́р	pribor	Noun
Cycle	цикл	tsikl	Noun
Cycle	цикле	tsikle	Noun
Cycle	велосипедная	velosipednaja	Noun
Cycle	кругу	krugu	Noun
Cyclist	велогонщик	velogonschik	Noun
Dacha	дача	dača	Noun
Dad	отец	otec	Noun
Dad	па́па	papa	Noun
Dad	папа	papa	Noun
Dad	папе	pape	Noun
Dad	папой	papoj	Noun
Dad	папу	papu	Noun
Dad	папы	papy	Noun
Dad's	папы	papy	Noun
Dads	папы	papy	Noun
Daily	ежедне́вно	ezhednevno	Adverb
Daily	ежедневное	ezhednevnoe	Adverb
Daily	ежедневный	ezhednevnyi	Adverb
Daily	ежедневная	ezhednevnaja	Adverb
Daily	ежедневно	ezhednevno	Adverb
Daily	ежедневные	ezhednevnye	Adverb
Daily	повседневной	povsednevnoi	Adverb
Daily Life	быт	byt	Noun
Dairy	молока	moloka	Noun
Dairy	молочные продукты	molochnye produkty	Noun
Damaged	повреждённый	povrezhdennyi	Verb
Damn	блин	blin	Noun
Damp	влажный	vlazhnyi	Noun
Damp	сыро́й	syroi	Noun
Damsel	деви́ца	devitsa	Noun
Dance	та́нец	tanets	Noun
Dance	танцевать	tancevatʹ	Noun
Dance Floor	танцпол	tantspol	Noun
Dance Floor	танцплощадка	tantsploschadka	Noun
Dance Floor	паркет	parket	Noun
Danced	танцевали	tantsevali	Verb
Danced	танцевала	tantsevala	Verb
Danced	танцевал	tantseval	Verb
Dancer	танцо́р	tantsor	Noun
Dancer	танцор	tantsor	Noun
Dances	балы	baly	Noun
Dances	танцам	tantsam	Noun
Dances	танцы	tantsy	Noun
Dances	танцует	tantsuet	Noun
Dances	танцами	tantsami	Noun
Dances	танцах	tantsah	Noun
Dancing	танцевать	tancevatʹ	Verb
Danger	опа́сность	opasnost'	Verb
Danger	опасность	opasnost'	Verb
Danger	угро́за	ugroza	Verb
Dangerous	опа́сный	opasnyi	Noun
Dangerous	опасный	opasnyi	Noun
Dangerously	опа́сно	opasno	Adverb
Dangerously	опасно	opasno	Adverb
Dangle	болта́ть	boltat'	Verb
Dangle	болта́ться	boltat'sja	Verb
Dark	темно́	temno	Adverb
Dark	тёмный	tëmnyj	Adverb
Dark	тёмным	temnym	Adverb
Dark	тёмная	temnaja	Adverb
Dark	темно	temno	Adverb
Dark	тёмно	temno	Adverb
Dark	тёмном	temnom	Adverb
Dark	тёмные	temnye	Adverb
Dark	темнота	temnota	Adverb
Dark	чёрный	čërnyj	Adverb
Dark Skinned	сму́глый	smuglyi	Noun
Darkness	темнота	temnota	Noun
Darkness	темнота́	temnota	Noun
Darkness	тьма	t'ma	Noun
Darkness Absence Of Light	мрак	mrak	Noun
Dart	ри́нуться	rinut'sja	Verb
Dash	ри́нуться	rinut'sja	Verb
Dashboard	приборную	pribornuju	Noun
Dashboard	панели	paneli	Noun
Dashboard	приборная панель	pribornaja panel'	Noun
Dashboard	приборной	pribornoi	Noun
Dashboard	панель	panel'	Noun
Data	данные	dannye	Noun
Database	ба́за	baza	Noun
Date	да́та	data	Noun
Date	свида́ние	svidanie	Noun
Date	число	čislo	Noun
Date	число́	čislo	Noun
Daughter	до́чка	dochka	Noun
Daughter	дочери	dočeri	Noun
Daughter	дочь	dočʹ	Noun
Daughter Is	дочери	dočeri	Noun
Daughter's	дочери	dočeri	Noun
Daughter-In-Law	невестка	nevestka	Noun
Daughter-In-Law	сноха	snoha	Noun
Daughter-In-Law	золовка	zolovka	Noun
Daughters	дочерей	dočerej	Noun
Daughters	дочери	dočeri	Noun
Dawn	заря́	zarja	Noun
Dawn	рассве́т	rassvet	Noun
Dawn	рассвет	rassvet	Noun
Day	день	denʹ	Noun
Day	дневно́й	dnevnoi	Noun
Day	днем	dnem	Noun
Day	дня	dnja	Noun
Day	дне	dne	Noun
Day	сплю	splju	Noun
Day	днём	dnëm	Noun
Day Before Yesterday	позавчера	pozavčera	Noun
Day Is	день	denʹ	Noun
Day Off	выходной	vyhodnoi	Noun
Daylight	дневной свет	dnevnoi svet	Noun
Daylight	свет	svet	Noun
Days	дня	dnâ	Noun
Days Off	выходные	vyhodnye	Noun
Dead	мёртвый	mertvyi	Noun
Dead End	тупи́к	tupik	Noun
Dead Person	поко́йник	pokoinik	Noun
Deadline	срок	srok	Noun
Deadly	смертельный	smertel'nyi	Adverb
Deadly	смертельно опасный	smertel'no opasnyi	Adverb
Deaf	глухо́й	gluhoi	Noun
Deafly	глу́хо	gluho	Adverb
Deal	сделку	sdelku	Verb
Deal	сделка	sdelka	Verb
Deal	сделки	sdelki	Verb
Deal	торгова́ть	torgovat'	Verb
Deal Successfully With Something	спра́виться	spravit'sja	Verb
Deal With	справиться с	spravit'sja s	Noun
Deal With	разобраться с	razobrat'sja s	Noun
Deal With	разобраться	razobrat'sja	Noun
Deal With	иметь дело с	imet' delo s	Noun
Dear	до́рого	dorogo	Noun
Dear	дорогая	dorogaja	Noun
Dear	дорогой	dorogoi	Noun
Dear	милый	milyi	Noun
Dear	дорого́й	dorogoj	Noun
Dear	ми́лый	milyi	Noun
Death	ги́бель	gibel'	Verb
Death	смерти	smerti	Verb
Death	смерть	smert'	Verb
Death	смертью	smert'ju	Verb
Debt	долг	dolg	Noun
Debt	долгов	dolgov	Noun
Debt	долгу	dolgu	Noun
Debt	долга	dolga	Noun
Debt	задолженность	zadolzhennost'	Noun
Debt	долгах	dolgah	Noun
Decade	десятиле́тие	desjatiletie	Noun
Decade	десятилетие	desjatiletie	Noun
Deceased	поко́йный	pokoinyi	Verb
Deceit	обма́н	obman	Noun
Deceive	обмануть	obmanut'	Noun
December	дека́брь	dekabrʹ	Noun
December	декабрь	dekabrʹ	Noun
Decent	прили́чный	prilichnyi	Noun
Deception	обма́н	obman	Noun
Decide	реша́ть	reshat'	Verb
Decide	реша́ться	reshat'sja	Verb
Decide	решат	reshat	Verb
Decide	решать	reshat'	Verb
Decide	решить	reshit'	Verb
Decide	реши́ть	rešitʹ	Verb
Decide	реши́ться	reshit'sja	Verb
Decision	реше́ние	rešenie	Noun
Decision	решение	rešenie	Noun
Decisive	реши́тельный	reshitel'nyi	Noun
Decisively	реши́тельно	reshitel'no	Adverb
Deck	па́луба	paluba	Noun
Deck	террасу	terrasu	Noun
Deck	палуба	paluba	Noun
Deck	стопку	stopku	Noun
Deck	верхнюю	verhnjuju	Noun
Declare	заявля́ть	zajavljat'	Verb
Decline	снижаться	snizhat'sja	Noun
Decline	снижение	snizhenie	Noun
Decorate	укра́сить	ukrasit'	Verb
Decorate	украшать	ukrashat'	Verb
Decorations	украшение	ukrashenie	Noun
Decrease	уменьшают	umen'shajut	Noun
Decrease	уменьшаю	umen'shaju	Noun
Decrease	уменьшаем	umen'shaem	Noun
Decree	ука́з	ukaz	Noun
Dedicated	преданный	predannyi	Verb
Dedication	преданность	predannost'	Noun
Deep	глубо́кий	glubokii	Noun
Deep	глубоко́	gluboko	Noun
Deep	ни́зкий	nizkii	Noun
Deep Down	в глубине души	v glubine dushi	Noun
Deeply	кре́пко	krepko	Adverb
Deer	оле́нь	olenʹ	Noun
Deer	олень	olenʹ	Noun
Defeat	пораже́ние	porazhenie	Noun
Defeat	поражение	porazhenie	Noun
Defeated	победить	pobeditʹ	Verb
Defeating	победить	pobeditʹ	Verb
Defect	недоста́ток	nedostatok	Noun
Defective	неисправный	neispravnyi	Noun
Defence	защи́та	zaschita	Noun
Defend	защищать	zaŝiŝatʹ	Noun
Defend Or Protect	защити́ть	zaschitit'	Verb
Defender	защи́тник	zaschitnik	Noun
Defending	защищать	zaŝiŝatʹ	Verb
Defense	защита	zaschita	Noun
Defense	оборо́на	oborona	Noun
Define	определи́ть	opredelit'	Verb
Definite	определённый	opredelennyi	Noun
Definitely	несомненно	nesomnenno	Adverb
Definitely	совсем	sovsem	Adverb
Definitely	то́чно	točno	Adverb
Definition	определе́ние	opredelenie	Noun
Definitive And Final	оконча́тельный	okonchatel'nyi	Noun
Degree	гра́дус	gradus	Noun
Degree	сте́пень	stepen'	Noun
Degree	степень (научная)	stepen' (nauchnaja)	Noun
Degree	степень	stepen'	Noun
Degree	диплом	diplom	Noun
Degrees	градус	gradus	Noun
Dehydrated	обезвоживаться	obezvozhivat'sja	Verb
Delayed	задержался	zaderzhalsja	Verb
Delayed	отложили	otlozhili	Verb
Delayed	отложил	otlozhil	Verb
Delayed	задержали	zaderzhali	Verb
Delayed	задержано	zaderzhano	Verb
Delegation	делега́ция	delegatsija	Noun
Delete	удалить	udalitʹ	Noun
Deli	гастроном	gastronom	Noun
Delicious	вкусная	vkusnaâ	Noun
Delicious	вкусный	vkusnyj	Noun
Delight	восто́рг	vostorg	Noun
Delight	восхище́ние	voshischenie	Noun
Delight	пре́лесть	prelest'	Verb
Delighted	в восторге	v vostorge	Verb
Delighted	рад	rad	Verb
Deliver	доставить	dostavit'	Verb
Deliver	доставля́ть	dostavljat'	Verb
Delivery	доставка	dostavka	Noun
Demand	потре́бовать	potrebovat'	Verb
Demand	спрос	spros	Verb
Demand	тре́бование	trebovanie	Noun
Democracy	демокра́тия	demokratija	Noun
Democracy	демократия	demokratija	Noun
Democratic	демократи́ческий	demokraticheskii	Noun
Demolish	снести́	snesti	Verb
Demon	бес	bes	Noun
Demonstrate	демонстри́ровать	demonstrirovat'	Verb
Dense	глухо́й	gluhoi	Noun
Dense	кру́пный	krupnyi	Noun
Dense	пло́тный	plotnyi	Noun
Densely	пло́тно	plotno	Adverb
Dentist	стоматолог	stomatolog	Noun
Dentist	стоматологу	stomatologu	Noun
Dentist	стоматолога	stomatologa	Noun
Dentist's Office	стоматология	stomatologija	Noun
Department	ве́домство	vedomstvo	Noun
Department	отде́л	otdel	Noun
Department	отдел	otdel	Noun
Department	отделе́ние	otdelenie	Noun
Department	факультет	fakulʹtet	Noun
Department Or Faculty Of Teachers	ка́федра	kafedra	Noun
Departure	отъе́зд	ot'ezd	Noun
Departure	отъезд	ot'ezd	Noun
Departure	отправление	otpravlenie	Noun
Departure	отъезда	ot'ezda	Noun
Depend	зави́сеть	zaviset'	Verb
Depend On	зависеть от	zaviset' ot	Noun
Depend On	полагаться на	polagat'sja na	Noun
Depend On	рассчитывать на	rasschityvat' na	Noun
Depend On	надеяться на	nadejat'sja na	Noun
Dependence	зави́симость	zavisimost'	Verb
Depending On	в зависимости от	v zavisimosti ot	Noun
Depending On	зависеть от	zaviset' ot	Noun
Depending On	по мере	po mere	Noun
Depict	изобража́ть	izobrazhat'	Verb
Depict	изобрази́ть	izobrazit'	Verb
Depiction	изображе́ние	izobrazhenie	Noun
Deprive	лиши́ть	lishit'	Verb
Deprived	лишённый	lishennyi	Verb
Depth	глубина	glubina	Noun
Depth	глубина́	glubina	Noun
Deputy	депутат	deputat	Noun
Deputy	замести́тель	zamestitel'	Noun
Deputy	наме́стник	namestnik	Noun
Derisively	насме́шливо	nasmeshlivo	Adverb
Derived Or Formed	образо́ванный	obrazovannyi	Noun
Descend	обру́шиться	obrushit'sja	Verb
Descend	опусти́ться	opustit'sja	Verb
Descendant	внук	vnuk	Noun
Descendant	пото́мок	potomok	Noun
Describe	описать	opisat'	Noun
Describe	описывать	opisyvatʹ	Noun
Description	описа́ние	opisanie	Noun
Description	описание	opisanie	Noun
Desert	пусты́нный	pustynnyi	Noun
Desert	пусты́ня	pustynâ	Noun
Desert	пустыня	pustynâ	Noun
Deserted	пу́стынный	pustynnyi	Verb
Deserve	заслуживаете	zasluzhivaete	Noun
Deserve	заслуживаешь	zasluzhivaesh'	Noun
Design	дизайн	dizain	Noun
Design	создать	sozdatʹ	Noun
Design	схе́ма	shema	Noun
Designed	создан	sozdan	Verb
Designed	созданы	sozdany	Verb
Designed	создано	sozdano	Verb
Designed	создана	sozdana	Verb
Designed	создал	sozdal	Verb
Designer	констру́ктор	konstruktor	Noun
Desire	жела́ние	zhelanie	Noun
Desire	стремле́ние	stremlenie	Noun
Desk	письменном столе	pis'mennom stole	Noun
Desk	рабочий стол	rabochii stol	Noun
Desk	стол	stol	Noun
Desk	письменным столом	pis'mennym stolom	Noun
Desk	стола	stola	Noun
Desk	рабочем столе	rabochem stole	Noun
Desk	пульт	pul't	Noun
Desk	столе	stole	Noun
Desks	столы	stoly	Noun
Despair	отча́яние	otchajanie	Noun
Desperate	отча́янный	otchajannyi	Noun
Desperate	отчаянный	otchajannyi	Noun
Desperately	отча́янно	otchajanno	Adverb
Desperately	смерть	smertʹ	Verb
Despite	несмотря на	nesmotrâ na	Noun
Despite	несмотря	nesmotrja	Noun
Despite	несмотря́	nesmotrja	Noun
Despite The Fact That	несмотря на то что	nesmotrja na to chto	Noun
Dessert	десерт	desert	Noun
Destination	место назначения	mesto naznachenija	Noun
Destination	направление	napravlenie	Noun
Destination	пункт назначения	punkt naznachenija	Noun
Destination	назначе́ние	naznachenie	Noun
Destined	до́ля	dolja	Verb
Destiny	судьба	sudʹba	Noun
Destroy	разру́шить	razrushit'	Verb
Destroy	уничто́жить	unichtozhit'	Verb
Destroy	уничтожа́ть	unichtozhat'	Verb
Destroy By Shooting From Short Distance	расстреля́ть	rasstreljat'	Verb
Destroy Or Harm With Fire	сжечь	szhech'	Verb
Destroyed	разрушаются	razrushajutsja	Verb
Destroyed	разрушил	razrushil	Verb
Destroyed	разрушено	razrusheno	Verb
Destroyed	уничтожена	unichtozhena	Verb
Destroyed	разрушены	razrusheny	Verb
Destroyed	разрушена	razrushena	Verb
Destroyed	разрушен	razrushen	Verb
Destruction	ги́бель	gibel'	Noun
Destruction	уничтоже́ние	unichtozhenie	Noun
Detail	дета́ль	detal'	Verb
Detail	деталь	detal'	Verb
Detail	подро́бность	podrobnost'	Verb
Detail	ча́стность	chastnost'	Verb
Detailed	подро́бный	podrobnyi	Verb
Determination	решимость	reshimost'	Noun
Determined	решительный	reshitel'nyi	Verb
Develop	развива́ться	razvivat'sja	Verb
Develop	разрабатываем	razrabatyvaem	Verb
Develop	разработать	razrabotat'	Verb
Development	разви́тие	razvitie	Noun
Development	разрабо́тка	razrabotka	Noun
Deviate	отходи́ть	othodit'	Verb
Device	прибо́р	pribor	Noun
Device	устано́вка	ustanovka	Noun
Device	устро́йство	ustroistvo	Noun
Device	устройство	ustroistvo	Noun
Devil	дья́вол	d'javol	Noun
Devil	чёрт	chert	Noun
Devilish	че́ртовый	chertovyi	Noun
Devoted	пре́данный	predannyi	Verb
Devour	жрать	zhrat'	Verb
Dew	роса́	rosa	Noun
Dexterously	ло́вко	lovko	Adverb
Diagram	схе́ма	shema	Noun
Diamond	бриллиант	brilliant	Noun
Diamond	бриллиантовый	brilliantovyi	Noun
Diary	дневни́к	dnevnik	Noun
Dice	кость	kost'	Verb
Dictionary	словаре	slovare	Noun
Dictionary	словарём	slovarem	Noun
Dictionary	со словарём	so slovarem	Noun
Dictionary	словаря	slovarja	Noun
Dictionary	словарь	slovar'	Noun
Dictionary	словарями	slovarjami	Noun
Did	делали	delali	Noun
Did	делал	delal	Noun
Did	сделал	sdelal	Noun
Did	мыли	myli	Noun
Did	сделала	sdelala	Noun
Did	занималась	zanimalas'	Noun
Did	занимался	zanimalsja	Noun
Did	собрала	sobrala	Noun
Did	делала	delala	Noun
Did I	я	â	Noun
Did Know	знал	znal	Noun
Did Live	жил	žil	Noun
Did Not	не	ne	Noun
Did Not	стала	stala	Noun
Did She	она	ona	Noun
Did That	тот	tot	Noun
Did The Ball	мяч	mâč	Noun
Did They	они	oni	Noun
Did Well	молодец	molodec	Noun
Did Work	работал	rabotal	Noun
Did Work	работала	rabotala	Noun
Did You	вы	vy	Noun
Did You	тебе	tebe	Noun
Did You	ты	ty	Noun
Did You	у тебя	u tebâ	Noun
Did You Say	сказал ли ты	skazal li ty	Noun
Did You Say	ты сказал	ty skazal	Noun
Did You Say	вы сказали	vy skazali	Noun
Did You Say	сказал ли вы	skazal li vy	Noun
Did You Say	ты говорил	ty govoril	Noun
Did You Say	вы говорили	vy govorili	Noun
Did Your	твои	tvoi	Noun
Did Your	твой	tvoi	Noun
Did Your	твоя	tvoâ	Noun
Didn't ... ?	ведь	vedʹ	Noun
Didn't Use To	не привыкать	ne privykat'	Noun
Didn't Use To	не имел привычки	ne imel privychki	Noun
Didn't Use To	не делал раньше	ne delal ran'she	Noun
Didn't Use To	не верил раньше	ne veril ran'she	Noun
Didn't Use To	раньше не	ran'she ne	Noun
Die	помере́ть	pomeret'	Verb
Die	умирают	umirajut	Verb
Diet	диета	dieta	Noun
Differ	отличаться	otličatʹsâ	Noun
Difference	ра́зница	raznitsa	Noun
Difference	разли́чие	razlichie	Noun
Difference	разница	raznitsa	Noun
Difference	разницу	raznitsu	Noun
Difference	разницы	raznitsy	Noun
Different	другой	drugoj	Noun
Different	ино́й	inoi	Noun
Different	не так	ne tak	Noun
Different	отли́чный	otličnyj	Noun
Different	отлично	otlično	Noun
Different	ра́зный	raznyj	Noun
Different	разный	raznyj	Noun
Different From	отличаются	otlichajutsja	Noun
Difficult	сло́жный	složnyj	Noun
Difficult	сложный	složnyj	Noun
Difficult	тру́дный	trudnyj	Noun
Difficult	трудно	trudno	Noun
Difficult	трудный	trudnyj	Noun
Difficult	тяжёлый	tâžëlyj	Noun
Difficulties	тру́дность	trudnost'	Verb
Difficultly	тру́дно	trudno	Adverb
Difficulty	сло́жность	slozhnost'	Verb
Dig	копаешь	kopaesh'	Noun
Dig	копать	kopat'	Noun
Dig	выкопаю	vykopaju	Noun
Dig	копают	kopajut	Noun
Dig	копаем	kopaem	Noun
Dig	выкопай	vykopai	Noun
Digit	ци́фра	tsifra	Noun
Digital	цифровой	tsifrovoi	Noun
Dignity	досто́инство	dostoinstvo	Noun
Diligent	стара́тельный	staratel'nyi	Noun
Dillute	развести́	razvesti	Verb
Dim	ту́склый	tusklyi	Noun
Dimensions	разме́р	razmer	Noun
Diminutive Of Back	спи́нка	spinka	Noun
Diner	закусочная	zakusochnaja	Noun
Dining Hall	столовая	stolovaâ	Noun
Dining Hall	столовой	stolovoi	Noun
Dining Room	столовая	stolovaâ	Noun
Dining Room	столовой	stolovoi	Noun
Dining Room	столовую	stolovuju	Noun
Dinner	обед	obed	Noun
Dinner	у́жин	užin	Noun
Dinner	ужин	užin	Noun
Dinosaur	динозавр	dinozavr	Noun
Dinosaur	динозавра	dinozavra	Noun
Dinosaur	динозавром	dinozavrom	Noun
Dip	соус	sous	Noun
Diploma	дипло́м	diplom	Noun
Diploma	степенью	stepen'ju	Noun
Diploma	дипломе	diplome	Noun
Diploma	диплома	diploma	Noun
Diploma	дипом	dipom	Noun
Diploma	дипломов	diplomov	Noun
