English	German	Part of Speech
Dare	riskiere/riskier	Verb
Dare	riskieren	Verb
Dare	riskierst	Verb
Dare	riskiert	Verb
Dare	sich trauen	Verb
Dare	sich wagen an	Verb
Dare	Trau	Verb
Dare	traue	Verb
Dare	Traut	Verb
Dare	traut	Verb
Dare	traute	Verb
Dare	Untersteh	Verb
Dare	Wag	Verb
Dare	wag	Verb
Dare	Wage	Verb
Dare	wage/wag	Verb
Dare	wagen	Verb
Dare	wagst	Verb
Dare	wagt	Verb
Dare	wagte	Verb
Dared	wagen	Verb
Daring	provokativ	Verb
Dark	die Dunkelheit	Noun
Dark	Dunkelheit	Noun
Dark	Dunkeln	Noun
Dark	Dunkler	Noun
Darkness	die Dunkelheit	Noun
Darkness	Dunkelheit	Noun
Darling	der Schatz	Noun
Darling	Herzchen	Noun
Darling	Schatz	Noun
Dash	Sprint	Noun
Dashboard	Armaturenbrett	Noun
Dass Er	angenommen	Verb
Dass Es	angenommen	Verb
Data	Angaben	Noun
Data	Daten	Noun
Data	die Daten	Noun
Data	Informationen	Noun
Data	Werte	Noun
Data	Zahl	Noun
Data	Zahlen	Noun
Data Privacy	Datenschutz	Noun
Data Privacy	der Datenschutz	Noun
Data Projector	Beamer	Noun
Data Projector	der Beamer	Noun
Data Protection	Datenschutz	Noun
Data Protection	der Datenschutz	Noun
Data Security	Datenschutz	Noun
Data Security	der Datenschutz	Noun
Data's	Daten	Noun
Data's	die Daten	Noun
Date	das Date	Noun
Date	Datum	Noun
Date	der Terminkalender	Noun
Date	Termin	Noun
Date	Terminkalender	Noun
Date	Verabredung	Noun
Date Of Birth	das Geburtsdatum	Noun
Date Of Origin	die Entstehungszeit	Noun
Date Suggestion	Terminvorschlag	Noun
Date's	Verabredung	Noun
Date/am Dating	Stamm	Noun
Dates	Daten	Noun
Dates	die Daten	Noun
Dates	Termine	Noun
Dating App	Dating-App	Noun
Daughter	Tochter	Noun
Daughter-In-Law	Schwiegertochter	Noun
Daughters	Töchter	Noun
Daughters'	Töchter	Noun
David	David	Noun
David's	David	Noun
Dawn	Morgendämmerung	Noun
Day	Spieltag	Noun
Day	Tag	Noun
Day Before	Vortag	Noun
Day Excursion	der Tagesausflug	Noun
Day Excursion	Tagesausflug	Noun
Day Off	Ruhetag	Noun
Day Off	Urlaubstag	Noun
Day Outing	der Tagesausflug	Noun
Day Outing	Tagesausflug	Noun
Day Trip	der Tagesausflug	Noun
Day Trip	Tagesausflug	Noun
Daycare	Kinderbetreuung	Noun
Daycare	Kita	Noun
Daycare Center	Kita	Noun
Daylight	Tageslicht	Noun
Days	Tage	Noun
Days	Tagen	Noun
Dazzling	atemberaubend	Verb
Dead	ausgegangen	Verb
Dead	eingegangen	Verb
Dead	eingegangenen	Verb
Dead	leer	Verb
Dead	tot	Verb
Dead	tote	Verb
Dead	toten	Verb
Dead	toter	Verb
Dead	totes	Verb
Dead	verbraucht	Verb
Dead Body	Leiche	Noun
Deadline	Abgabetermin	Noun
Deadline	Frist	Noun
Deadline	Termin	Noun
Deadline Pressure	der Zeitdruck	Noun
Deadline Pressure	Zeitdruck	Noun
Deadline Schedule	Terminplan	Noun
Deadlock	Gleichstand	Noun
Deadly	tödlich	Adverb
Deal	Abgemacht	Noun
Deal	Abkommen	Noun
Deal	Abmachung	Noun
Deal	das Schnäppchen	Noun
Deal	der Handel	Noun
Deal	die Vereinbarung	Noun
Deal	Geschäft	Noun
Deal	Handel	Noun
Deal	Vereinbarung	Noun
Dealing	versetzen	Verb
Deals	Abmachung	Noun
Deals	das Handeln	Noun
Dear	Herzchen	Noun
Death	der Tod	Noun
Death	Tod	Noun
Debate	Debatte	Noun
Debit	Debitkarte	Noun
Debit Card	EC-Karte	Noun
Debt	die Schulden	Noun
Debt	Schuld	Noun
Debt	Schulden	Noun
Debts	die Schulden	Noun
Debts	Schulden	Noun
Decade	das Jahrzehnt	Noun
Decade	Dekade	Noun
Decade	Jahrzehnt	Noun
Deceive	Bluffst	Noun
Deceive	Lügt	Noun
Deceive	Schummeln	Noun
Deceive	Trug	Noun
Deceiver	Betrüger	Noun
December	Dezember	Noun
Decide	beschließen	Verb
Decide	entscheide	Verb
Decide	entscheiden	Verb
Decide	entscheidest	Verb
Decide	entscheidet	Verb
Decide	entschieden	Verb
Decide	entschließen	Verb
Decide	entschlossen	Verb
Decide	sich entscheiden	Verb
Decide	sich entschieden	Verb
Decide On	bestimmen	Verb
Decide On	festlegen	Verb
Decided	eindeutig	Verb
Decided	entschieden	Verb
Decided	entschlossen	Verb
Decision	der Entschluss	Noun
Decision	die Entscheidung	Noun
Decision	Entscheidung	Noun
Decision	Entschlossenheit	Noun
Decision	Entschluss	Noun
Decisions	entschieden	Verb
Deck	Außenterrasse	Noun
Deck Chair	Liegestuhl	Noun
Deck Chair	Sonnenliege	Noun
Decline Of Species	Artensterben	Noun
Declines	Ablehnung	Noun
Decor	Dekoration	Noun
Decorate	dekorier	Verb
Decorate	dekoriere	Verb
Decorate	dekorieren	Verb
Decorate	dekoriert	Verb
Decorate	schmücke	Verb
Decorate	Schmücken	Verb
Decorate	Schmückst	Verb
Decorate	Verzieren	Verb
Decoration	Dekoration	Noun
Decorations	Auszeichnung	Noun
Decorations	Dekoration	Noun
Decorations	die Auszeichnung	Noun
Decorations	Schmuck	Noun
Decorations	Schmücken	Noun
Decorations	Streichen	Noun
Decorations	Tapezieren	Noun
Decorations	Verzieren	Noun
Decrease	abnehmend	Verb
Decrease	nachlassen	Verb
Decrease	reduzieren	Verb
Decrease	senken	Verb
Decrease	verringern	Verb
Decree	der Spruch	Noun
Decree	Spruch	Noun
Dedicated	engagiert	Verb
Dedication	das Engagement	Noun
Dedication	der Einsatz	Noun
Dedication	Einsatz	Noun
Dedication	Engagement	Noun
Deed Of Trust	Hypothek	Noun
Deep-Fried	frittiert	Verb
Deepest	Tiefe	Noun
Deeply	zutiefst	Adverb
Deepness	Tiefe	Noun
Deer	das Reh	Noun
Deer	der Hirsch	Noun
Deer	Hirsch	Noun
Deer	Reh	Noun
Defeat	Besiegte	Noun
Defeat	der Misserfolg	Noun
Defeat	die Niederlage	Noun
Defeat	Niederlage	Noun
Defeat	Rückschlags	Noun
Defeat	Rückschläge	Noun
Defeat	Sieg	Noun
Defeating	besiegen	Verb
Defect	Defekt	Noun
Defect	der Defekt	Noun
Defect	die Störung	Noun
Defect	Störung	Noun
Defective	der Defekt	Noun
Defects	Defekt	Noun
Defects	der Defekt	Noun
Defects	der Mangel	Noun
Defects	die Schwäche	Noun
Defects	Mangel	Noun
Defects	Schwäche	Noun
Defence	die Verteidigung	Noun
Defence	Verteidigung	Noun
Defend	rechtfertigen	Verb
Defend	schütze/schütz	Verb
Defend	schützen	Verb
Defend	schützt	Verb
Defend	verteidige	Verb
Defend	verteidigen	Verb
Defend	verteidigst	Verb
Defend	verteidigt	Verb
Defendant	Angeklagter	Noun
Defendant	Beklagte	Noun
Defendant	die Schuldige	Noun
Defendant	Mandanten	Noun
Defendant	Schuldige	Noun
Defending	verteidigen	Verb
Defense	die Verteidigung	Noun
Defense	Verteidigung	Noun
Define	festlegen	Verb
Defined	festlegen	Verb
Definite	eindeutig	Verb
Definite	entschieden	Verb
Definite	konkret	Verb
Definite	verbindlich	Verb
Definitely	allerdings	Adverb
Definitely	bestimmt	Adverb
Definitely	definitiv	Adverb
Definitely	durchaus	Adverb
Definitely	eindeutig	Adverb
Definitely	fest	Adverb
Definitely	feste	Adverb
Deforestation	Abholzung	Noun
Degree	Abschluss	Noun
Degree	Abschlusses	Noun
Degree	Abschlüsse	Noun
Degree	das Maß	Noun
Degree	der Abschluss	Noun
Degree	der Grad	Noun
Degree	Diplome	Noun
Degree	Diploms	Noun
Degree	Grad	Noun
Degree	Grau	Noun
Degree	Hochschulabschlüsse	Noun
Degree	Studienabschluss	Noun
Degree	Universitätsabschluss	Noun
Dehydrated	dehydriert	Verb
Delay	Puffer	Noun
Delay	Verspätung	Noun
Delayed	verschieben	Verb
Delayed	verschoben	Verb
Delayed	warten	Verb
Delayed	wartete	Verb
Delegate	Abgeordneter	Noun
Delegation	Mission	Noun
Delete	entfernten	Verb
Delete	gelöscht	Verb
Delete	gestrichen	Verb
Delete	gestrichene	Verb
Delete	lösche	Verb
Delete	löschen	Verb
Delete	löschst	Verb
Deleted	gelöscht	Verb
Deli	Delikatessenladen	Noun
Deli	Imbiss	Noun
Deli	Sandwichshop	Noun
Deliberately	absichtlich	Adverb
Deliberating	beraten	Verb
Deliberation	Berechnung	Noun
Deliberation	die Berechnung	Noun
Delight	die Freude	Noun
Delight	Freude	Noun
Delighted	begeistert	Verb
Deliver	ablegen	Verb
Deliver	aushändigen	Verb
Deliver	bringe	Verb
Deliver	bringe über/bring über	Verb
Deliver	bringe/bring	Verb
Deliver	bringen	Verb
Deliver	bringen über	Verb
Deliver	bringst	Verb
Deliver	bringst über	Verb
Deliver	bringt	Verb
Deliver	bringt über	Verb
Deliver	brächte	Verb
Deliver	einliefern	Verb
Deliver	entbinde/entbind	Verb
Deliver	entbinden	Verb
Deliver	entbindest	Verb
Deliver	entbindet	Verb
Deliver	erzähle/erzähl	Verb
Deliver	erzählen	Verb
Deliver	erzählst	Verb
Deliver	erzählt	Verb
Deliver	gebe über/geb über	Verb
Deliver	gebe/geb	Verb
Deliver	geben	Verb
Deliver	geben über	Verb
Deliver	gebt	Verb
Deliver	gebt über	Verb
Deliver	gebäre/gebär	Verb
Deliver	gebären	Verb
Deliver	gebärst/gebierst-	Verb
Deliver	gebärt	Verb
Deliver	gibst	Verb
Deliver	gibst über	Verb
Deliver	halte/halt	Verb
Deliver	halten	Verb
Deliver	haltet	Verb
Deliver	hältst	Verb
Deliver	liefere	Verb
Deliver	liefere/liefre/liefr/liefer	Verb
Deliver	liefern	Verb
Deliver	lieferst	Verb
Deliver	liefert	Verb
Deliver	servieren	Verb
Deliver	stelle/stell	Verb
Deliver	stellen	Verb
Deliver	stellst	Verb
Deliver	stellt	Verb
Deliver	trägst vor	Verb
Deliver	verkünde/verkünd	Verb
Deliver	verkünden	Verb
Deliver	verkündest	Verb
Deliver	verkündet	Verb
Deliver	versetze/versetz	Verb
Deliver	versetzen	Verb
Deliver	versetzt	Verb
Deliver	vorbringen	Verb
Deliver	vortragen	Verb
Deliver	werfe/werf	Verb
Deliver	werfen	Verb
Deliver	werft	Verb
Deliver	wirfst	Verb
Deliver	zustellen	Verb
Deliver	überbringen	Verb
Deliver	übergeben	Verb
Delivery	die Lieferung	Noun
Delivery	Lieferung	Noun
Delivery Address	Lieferadresse	Noun
Delivery Appointment	Liefertermin	Noun
Delivery Company	Lieferdienst	Noun
Delivery Date	Liefertermin	Noun
Delivery Deadline	Liefertermin	Noun
Delivery Period	die Lieferzeit	Noun
Delivery Period	Lieferzeit	Noun
Delivery Provider	Lieferdienst	Noun
Delivery Schedule	Liefertermin	Noun
Delivery Service	Lieferdienst	Noun
Delivery Service	Lieferservice	Noun
Delivery Service	Paketdienst	Noun
Delivery Time	die Lieferzeit	Noun
Delivery Time	Liefertermin	Noun
Delivery Time	Lieferzeit	Noun
Demand	Anforderung	Noun
Demand	Anspruch	Noun
Demand	Ansprüchen	Noun
Demand	Bedarf	Noun
Demand	Bedürfnisse	Noun
Demand	Bedürfnissen	Noun
Demand	das Bedürfnis	Noun
Demand	das Gebiet	Noun
Demand	der Anspruch	Noun
Demand	die Anforderung	Noun
Demand	die Forderung	Noun
Demand	die Nachfrage	Noun
Demand	Forderung	Noun
Demand	Gebiet	Noun
Demand	Nachfrage	Noun
Demand	verlangen	Verb
Demand/am Demanding	Gebiet	Noun
Demands	die Forderung	Noun
Demands	die Nachfrage	Noun
Demands	Forderung	Noun
Demands	Nachfrage	Noun
Demeanor	Art	Noun
Demeanor	die Art	Noun
Demeanor	Verhalten	Noun
Democracy	Demokratie	Noun
Demolition	Abbruch	Noun
Demonstrant	Demonstrant	Noun
Demonstrating	beweisen	Verb
Demonstrating	protestieren	Verb
Demonstrating	zeigen	Verb
Demonstration	Beweises	Noun
Demonstration	Proteste	Noun
Demonstrations	Proteste	Noun
Demonstrator	Demonstrant	Noun
Den	Höhle	Noun
Denkt Nach	nachdenken	Verb
Denmark	Dänemark	Noun
Denomination	der Wert	Noun
Denomination	Wert	Noun
Dentist	der Zahnarzt	Noun
Dentist	Zahnarzt	Noun
Dentist	Zahnärztin	Noun
Dentist's	der Zahnarzt	Noun
Dentist's	Zahnarzt	Noun
Dentist's	Zahnärztin	Noun
Dentist's Office	Zahnarztpraxis	Noun
Denying	abstreiten	Verb
Denying	leugnen	Verb
Deodorant	Deo	Noun
Departed	abgefahren	Verb
Department	Abteilung	Noun
Department	Amt	Noun
Department	Branche	Noun
Department	der Zweig	Noun
Department	die Branche	Noun
Department	Zweig	Noun
Department Store	Kaufhaus	Noun
Department's	Bereich	Noun
Department's	der Bereich	Noun
Department's	Institut	Noun
Departure	Abfahrt	Noun
Departure	Abfahrten	Noun
Departure	Abflug	Noun
Departure	Abflüge	Noun
Departure	Abreise	Noun
Departure	Abschied	Noun
Departure	Abwanderung	Noun
Departure	Ausfahrten	Noun
Departure	Ausgangs	Noun
Dependability	die Zuverlässigkeit	Noun
Dependability	Zuverlässigkeit	Noun
Dependent	Angehörige	Noun
Deployment	der Einsatz	Noun
Deployment	Einsatz	Noun
Deposit	Kaution	Noun
Deposit	Pfand	Noun
Depot	Lager	Noun
Depressed	deprimiert	Verb
Depth	Tiefe	Noun
Deputy	Abgeordneter	Noun
Deregistered	abmelden	Verb
Derived	ermitteln	Verb
Derived	gewonnen	Verb
Describe	beschreiben	Verb
Describe	beschrieben	Verb
Described	beschrieben	Verb
Description	Beschreibung	Noun
Description	Beschreibungen	Noun
Description	Bezeichnung	Noun
Description	Bezeichnungen	Noun
Description	Bildtext	Noun
Description	die Beschreibung	Noun
Descriptions	beschrieben	Verb
Desert	die Wüste	Noun
Desert	Wüste	Noun
Desert's	die Wüste	Noun
Desert's	Wüste	Noun
Design	aufstellen	Verb
Design	beabsichtigen	Verb
Design	bestimmen	Verb
Design	das Design	Noun
Design	das Muster	Noun
Design	der Entwurf	Noun
Design	der Vorsatz	Noun
Design	entwerfen	Verb
Design	Entwurf	Verb
Design	gestalten	Verb
Design	konstruieren	Verb
Design	Muster	Verb
Design	Planung	Verb
Design	Vorsatz	Verb
Designation	Bezeichnung	Noun
Designation	der Titel	Noun
Designation	Titel	Noun
Designed	angelegten	Verb
Designed	ausgebildet	Verb
Designed	entworfen	Verb
Designed	Gemustertes	Verb
Designed	geplante	Verb
Designed	geplanten	Verb
Designer	Modeschöpfer	Noun
Designer	Modeschöpferin	Noun
Designer's	Designer	Noun
Designers	Designer	Noun
Desire	Lust	Noun
Desired	gewollt	Verb
Desk	der Schreibtisch	Noun
Desk	Schreibtisch	Noun
Desk	Schreibtischen	Noun
Desk	Schreibtisches	Noun
Desk	Schreibtischs	Noun
Desk	Tresen	Noun
Desks	Schreibtische	Noun
Despite	Entgegen	Noun
Dessert	das Dessert	Noun
Dessert	die Nachspeise	Noun
Dessert	Nachspeise	Noun
Dessert	Nachtisch	Noun
Desserts	Dessert	Noun
Destination	Bestimmungsort	Noun
Destination	das Ziel	Noun
Destination	Endziel	Noun
Destination	Reiseziel	Noun
Destination	Ziel	Noun
Destination	Zielort	Noun
Destinations	Ziele	Noun
Destitution	Armut	Noun
Destitution	die Armut	Noun
Destroyed	zerstört	Verb
Detachment	die Distanz	Noun
Detachment	Distanz	Noun
Detail	Details	Noun
Detail	Einzelheit	Noun
Detailed	ausführlich	Verb
Detailed	detailliert	Verb
Details	Einzelheiten	Noun
Detected	erkannt	Verb
Detection	die Entdeckung	Noun
Detection	Entdeckung	Noun
Detective	der Ermittler	Noun
Detective	Detektiv	Noun
Detective	Detektivin	Noun
Detective	Ermittler	Noun
Detective	Ermittlern	Noun
Detective	Kriminalbeamten	Noun
Detective	Kriminalbeamter	Noun
Detective	Kriminalkommissar	Noun
Detective Story	der Krimi	Noun
Detective Story	Krimi	Noun
Detector	Metalldetektor	Noun
Detergent	Waschmittel	Noun
Determination	der Entschluss	Noun
Determination	Entschlossenheit	Noun
Determination	Entschluss	Noun
Determine	bestimmen	Verb
Determine	entschließen	Verb
Determine	ermitteln	Verb
Determine	festlegen	Verb
Determine	feststellen	Verb
Determined	entschieden	Verb
Determined	entschlossen	Verb
Detour	Umweg	Noun
Develop	Aufwachsen	Noun
Developed	ausgebildet	Verb
Developing	das Auftreten	Noun
Developing	Entwicklung	Noun
Development	der Wandel	Noun
Development	die Wendung	Noun
Development	Entwicklung	Noun
Development	Wandel	Noun
Development	Wendung	Noun
Deviation	Umweg	Noun
Device	Bombe	Noun
Device	das Ding	Noun
Device	das Gerät	Noun
Device	das Motto	Noun
Device	Devise	Noun
Device	die Bombe	Noun
Device	Dinger	Noun
Device	Emblem	Noun
Device	Gerät	Noun
Device	Geräten	Noun
Device	Geräts	Noun
Device	Hilfsmittel	Noun
Device	Instruments	Noun
Device	Mittel	Noun
Device	Motto	Noun
Device	Verkehrsmittel	Noun
Device	Vorrichtung	Noun
Devoted	anhänglich	Verb
Devotion	die Treue	Noun
Devotion	Treue	Noun
Devoured	gefressen	Verb
Devoutly	gläubig	Adverb
Diabetes	der Diabetes	Noun
Diabetes Mellitus	der Diabetes	Noun
Diabetes Mellitus	Diabetes	Noun
Diagnosis	Diagnose	Noun
Diagram	die Grafik	Noun
Diagram	Grafik	Noun
Diagrams	Grafiken	Noun
Dial	Skala	Noun
Dialect	Dialekt	Noun
Dialogue	Dialog	Noun
Diamond	der Diamant	Noun
Diamond	Diamant	Noun
Diaper	die Windel	Noun
Diaper	Windel	Noun
Diaper Changing Table	Wickeltisch	Noun
Diaries	der Terminkalender	Noun
Diaries	Terminkalender	Noun
Diarrhea	Durchfall	Noun
Diarrhoea	Durchfall	Noun
Diary	Agenda	Noun
Diary	das Tagebuch	Noun
Diary	der Terminkalender	Noun
Diary	Tagebuch	Noun
Diary	Terminkalender	Noun
Dictatorship	Diktatur	Noun
Dictionary	Wörterbuch	Noun
Dictum	der Spruch	Noun
Dictum	Spruch	Noun
Did	Bist	Noun
Did	Haben	Noun
Did	Hat	Noun
Did	Saht	Noun
Did	Sind	Noun
Did	Tatort	Noun
Did	Wusstet	Noun
Did Fly	flogen	Adverb
Didn't	der Husten	Noun
Didn't	erwähnen	Verb
Didn't	finden	Verb
Die	der Würfel	Noun
Die	die Lage	Noun
Die	Sterben	Noun
Die	Würfel	Noun
Died	das Vergehen	Noun
Died	der Würfel	Noun
Died	vergangen	Verb
Died	Würfel	Noun
Diet	die Ernährung	Noun
Diet	Ernährung	Noun
Diet Plan	Ernährungsplan	Noun
Dietary Plan	Ernährungsplan	Noun
Diets	die Ernährung	Noun
Diets	Ernährung	Noun
Difference	Abstand	Noun
Difference	der Abstand	Noun
Difference	Ungleichheit	Noun
Difference	Unterschied	Noun
Differently	anders	Adverb
Differently	verschieden	Adverb
Difficulties	die Schwierigkeit	Noun
Difficulties	Schwierigkeit	Noun
Difficulty	die Schwierigkeit	Noun
Difficulty	die Verlegenheit	Noun
Difficulty	Schwere	Noun
Difficulty	Schwierigkeit	Noun
Difficulty	Verlegenheit	Noun
Difficulty Breathing	Atemnot	Noun
Dig	Zieh	Noun
Digging	graben	Verb
Digital Hourglass	Sanduhr	Noun
Digital Subscription	Abo	Noun
Digital Thermometer	das Fieberthermometer	Noun
Digital Thermometer	Fieberthermometer	Noun
Digitally	digital	Adverb
Diligently	fleißig	Adverb
Diligently	sorgfältig	Adverb
Diner	das Lokal	Noun
Diner	Diners	Noun
Diner	Lokal	Noun
Diner	Shop	Noun
Diner Car	Speisewagen	Noun
Dining Car	Speisewagen	Noun
Dining Hall	die Kantine	Noun
Dining Hall	Kantine	Noun
Dining Hall	Mensa	Noun
Dining Hall	Speisesaal	Noun
Dining Room	Esszimmer	Noun
Dining Table	Esstisch	Noun
Dinner	Abendbrot	Noun
Dinner	Abendessen	Noun
Dinner Roll	Brötchen	Noun
Dinner Table	Esstisch	Noun
Dinner's	Abendbrot	Noun
Dinosaur	Dinosaurier	Noun
Dip	Abschwung	Noun
Dip	der Abschwung	Noun
Dip	Taucht	Noun
Dip	Tunk	Noun
Diploma	Abschlusszeugnis	Noun
Direct	anleitest	Verb
Direct	Ausrichten	Verb
Direct	ausrichtest	Verb
Direct	direkt	Verb
Direct	direkte	Verb
Direct	direkten	Verb
Direct	Gerade	Verb
Direct	leite	Verb
Direct	leiten	Verb
Direct	lenk	Verb
Direct	lenken	Verb
Direct	Lenken	Verb
Direct	Live	Verb
Direct	Richte	Verb
Direct	richte	Verb
Direct	unmittelbar	Verb
Directed	zielgerichtet	Verb
Direction	Richtung	Noun
Directions	Anordnung	Noun
Directions	eine Wegbeschreibung	Noun
Directions	Wegbeschreibung	Noun
Directly	direkt	Adverb
Directly	unmittelbar	Adverb
Director	der Regisseur	Noun
Director	Direktor	Noun
Director	Dirigent	Noun
Director	Regisseur	Noun
Director Of Photography	Kameramann	Noun
Director's	Chef	Noun
Director's	der Geschäftsführer	Noun
Director's	der Regisseur	Noun
Director's	Direktor	Noun
Director's	Geschäftsführer	Noun
Director's	Regisseur	Noun
Director's	Vorgesetzter	Noun
Dirndl	Dirndl	Noun
Dirndl Dress	Dirndl	Noun
Dirt	Schmutz	Noun
Disability	Behinderung	Noun
Disability	die Behinderung	Noun
Disability Ramp	Rampe	Noun
Disability-Friendly	barrierefrei	Adverb
Disabled Parking Bay	Behindertenparkplatz	Noun
Disabled Parking Space	Behindertenparkplatz	Noun
Disadvantage	der Nachteil	Noun
Disadvantage	Nachteil	Noun
Disadvantaged	benachteiligt	Verb
Disadvantages	Nachteile	Noun
Disagree	Widersprecht	Noun
Disagree	Widersprichst	Noun
Disagreement	Meinungsverschiedenheit	Noun
Disappeared	verschwunden	Verb
Disappearing	verschwinden	Verb
Disappointed	enttäuscht	Verb
Disappointed	frustriert	Verb
Disappointing	enttäuschen	Verb
Disappointing	enttäuschend	Verb
Disappointment	Enttäuschung	Noun
Disaster	Katastrophe	Noun
Disaster Plan	Notfallplan	Noun
Discerned	bemerken	Verb
Discerned	erkennen	Verb
Discerned	feststellen	Verb
Discerned	wahrnehmen	Verb
Discipline	die Disziplin	Noun
Discipline	Disziplin	Noun
Disciplined	diszipliniert	Verb
Disco	Disco	Noun
Discontent	Unzufriedenheit	Noun
Discontentment	Unzufriedenheit	Noun
Discontinuation	Abbruch	Noun
Discount	Ermäßigung	Noun
Discount	Rabatt	Noun
Discounts	Rabatt	Noun
Discourage	entmutigen	Verb
Discouraged	entmutigen	Verb
Discouraged	entmutigt	Verb
Discouraged	entmutigte	Verb
Discouraged	frustriert	Verb
Discover	Entdecke	Noun
Discover	Entdecken	Noun
Discover	Entdeckst	Noun
Discoverer	Entdecker	Noun
Discovery	die Entdeckung	Noun
Discovery	Entdeckung	Noun
Discovery	Entdeckungen	Noun
Discussing	besprechen	Verb
Discussing	diskutiert	Verb
Discussion	Behandlung	Noun
Discussion	das Gespräch	Noun
Discussion	die Behandlung	Noun
Discussion	Diskussion	Noun
Discussion	Gespräch	Noun
Disease	die Krankheit	Noun
Disease	Krankheit	Noun
Disgrace	Scham	Noun
Disgrace	Skandal	Noun
Disguise	Kostüms	Noun
Disguise	Verkleidung	Noun
Disgusting	ekelhaft	Verb
Dish	das Gericht	Noun
Dish	die Schale	Noun
Dish	Gericht	Noun
Dish	Napf	Noun
Dish	Schale	Noun
Dish	Schälchen	Noun
Dishes	Abwasch	Noun
Dishes	die Schale	Noun
Dishes	Gerichte	Noun
Dishes	Gerichten	Noun
Dishes	Geschirr	Noun
Dishes	Geschirrs	Noun
Dishes	Schale	Noun
Dishes	Speisen	Noun
Dishwasher	Spülmaschine	Noun
Disillusionment	Enttäuschung	Noun
Disinfectant	Desinfektionsmittel	Noun
Disinfectant Solution	Desinfektionsmittel	Noun
Disinfectants	Desinfektionsmittel	Noun
Disinfecting Agent	Desinfektionsmittel	Noun
Dislike	Abneigung	Noun
Disliked	mag	Verb
Dismissed	entlassen	Verb
Disorder	die Störung	Noun
Disorder	Störung	Noun
Disorganized Person	Chaot	Noun
Disoriented	verwirrt	Verb
Disorienting	verwirrend	Verb
Disparity	Ungleichheit	Noun
Dispatch Service	Lieferdienst	Noun
Dispersed	verlaufen	Verb
Displaced Person	der Flüchtling	Noun
Displaced Person	Flüchtling	Noun
Display	Anzeige	Noun
Display	die Anzeige	Noun
Display Board	Anzeigetafel	Noun
Display Window	Schaufenster	Noun
Displaying	aus	Verb
Displaying	ausstellen	Verb
Displeased	unzufrieden	Verb
Displeasure	Unzufriedenheit	Noun
Dispute	Rechte	Noun
Dispute/am Disputing	Rechte	Noun
Disregard	vernachlässigen	Verb
Disrespectfully	grob	Adverb
Disrespectfully	unhöflich	Adverb
Disruption	die Störung	Noun
Disruption	Störung	Noun
Dissatisfaction	Unzufriedenheit	Noun
Dissatisfied	unzufrieden	Verb
Disseminate	verbreiten	Verb
Dissent	Einwand	Noun
Dissent	Widerspruch	Noun
Dissertation	Arbeit	Noun
Dissertation	Gartenarbeit	Noun
Dissertations	Gartenarbeit	Noun
Distance	Abstand	Noun
Distance	der Abstand	Noun
Distance	der Weg	Noun
Distance	die Distanz	Noun
Distance	die Entfernung	Noun
Distance	die Ferne	Noun
Distance	die Strecke	Noun
Distance	Distanz	Noun
Distance	Entfernung	Noun
Distance	Ferne	Noun
Distance	Strecke	Noun
Distance	Weg	Noun
Distinctly	deutlich	Adverb
Distinctness	die Klarheit	Noun
Distinctness	Klarheit	Noun
Distribute	verbreiten	Verb
Distribution	Ausgabe	Noun
Distributions	Ausgaben	Noun
District	Bezirk	Noun
District	der Freundeskreis	Noun
District	Freundeskreis	Noun
District	Stadtteil	Noun
Disturbance	die Störung	Noun
Disturbance	Störung	Noun
Disturbance	Vorfall	Noun
Diversity	die Vielfalt	Noun
Diversity	Vielfalt	Noun
Divide	aufteilen	Verb
Divide	aufzuteilen	Verb
Divide	die Grenze	Noun
Divide	die Kluft	Noun
Divide	dividieren	Verb
Divide	einteilen	Verb
Divide	einteilt	Verb
Divide	entzweien	Verb
Divide	Grenze	Verb
Divide	Kluft	Verb
Divide	Riss	Verb
Divide	spaltest	Verb
Divide	spaltet	Verb
Divide	teilen	Verb
Divide	Teilt	Verb
Divide	trennen	Verb
Divide	Trennst	Verb
Divide	trennte	Verb
Divide	unterscheiden	Verb
Divide	verteile	Verb
Divide	Wasserscheide	Verb
Divide	zerteilen	Verb
Divide Number By Three	das Drittel	Noun
Divide Number By Three	Drittel	Noun
Divided	aufteilen	Verb
Divided	trennen	Verb
Dividing	teilen	Verb
Diving	tauchen	Verb
Division	der Zweig	Noun
Division	Zweig	Noun
Divorce	die Scheidung	Noun
Divorce	die Trennung	Noun
Divorce	Scheidung	Noun
Divorce	Trennung	Noun
Divorce Attorney	Scheidungsanwalt	Noun
Divorce Lawyer	Scheidungsanwalt	Noun
Divorced	geschieden	Verb
Do	abschneidet	Verb
Do	das tut	Verb
Do	das Unternehmen	Verb
Do	die Macht	Verb
Do	erfüllen	Verb
Do	erledigen	Verb
Do	fertiggemacht	Verb
Do	Frisierst	Verb
Do	gemacht	Verb
Do	gestylt	Verb
Do	getan	Verb
Do	hast	Verb
Do	leisten	Verb
Do	mach	Verb
Do	mache	Verb
Do	machen	Verb
Do	machst	Verb
Do	Macht	Verb
Do	macht	Verb
Do	Machten	Verb
Do	Treibe	Verb
Do	treibe	Verb
Do	Treiben	Verb
Do	tun	Verb
Do	tut	Verb
Do	unternehme	Verb
Do	unternehmen	Verb
Do	Unternehmt	Verb
Do	unternimm	Verb
Do	Unternimm	Verb
Do	Unternimmst	Verb
Do	unternimmst	Verb
Do	unternimmt	Verb
