English	Spanish	Part of Speech
Designer's	diseñador	Noun
Desire	desear	Noun
Desire	deseo	Noun
Desire	solicitar	Noun
Desk	escritorio	Noun
Desk	un escritorio	Noun
Desk	un pupitre	Noun
Desk	una escribanía	Noun
Desk's	mesa	Noun
Desktop	escritorio	Noun
Desperate	apremiante	Noun
Desperate	desesperada	Noun
Desperate	desesperadas	Noun
Desperate	desesperado	Noun
Desperate	desesperados	Noun
Desperate	grave	Noun
Desperate	pésimo	Noun
Desperate	terrible	Noun
Despite	pesar	Noun
Despite	pese	Noun
Despite The Fact That	aunque	Noun
Despite The Fact That	aún cuando	Noun
Dessert	postre	Noun
Destination	destino	Noun
Destination	el destino	Noun
Destination	meta	Noun
Destiny	destino	Noun
Destiny	sino	Noun
Destroy	destroces	Noun
Destroy	destrozar	Noun
Destroy	destruimos	Noun
Destroy	destruir	Noun
Destroy	destruiremos	Noun
Destroy	destruirla	Noun
Destroy	destruirlos	Noun
Destroy	destruirán	Noun
Destroy	destruya	Noun
Destroy	destruyen	Noun
Destroy	destry	Noun
Destroyed	destruidos	Verb
Destroyed	destruimos	Verb
Destroyed	destruir	Verb
Destroying	destruir	Adjective
Destroying	destruyendo	Adjective
Detail	detalle	Noun
Details	los datos	Noun
Detective	detectives	Noun
Detergent	el detergente	Noun
Determination	determinación	Noun
Determination	resolución	Noun
Determined	decidido	Verb
Determined	perseverante	Verb
Develop	cultivar	Noun
Develop	cultivo	Noun
Develop	desarrolla	Noun
Develop	desarrollamos	Noun
Develop	desarrollar	Noun
Develop	formar	Noun
Developed	elaborado	Verb
Developing	desarrollar	Verb
Device	aparato	Noun
Device	dispositivo	Noun
Devices	los dispositivos	Noun
Devote	dedicarse	Noun
Diabetic	diabético	Noun
Diagonal Street	diagonal	Noun
Dial	marca	Noun
Dialogue	diálogo	Noun
Dialogue	el diálogo	Noun
Dials	marca	Noun
Diamond	brillante	Noun
Diamond	diamante	Noun
Diaper	pañal	Noun
Diary	diario	Noun
Diary	una agenda	Noun
Dictatorship	dictadura	Noun
Dictionaries	diccionarios	Noun
Dictionary	diccionario	Noun
Did	bueno	Noun
Did	hacía	Noun
Did	hacíamos	Noun
Did	hacían	Noun
Did	hice	Noun
Did	hiciera	Noun
Did	hicieron	Noun
Did	hicimos	Noun
Did	hiciste	Noun
Did	hiciéramos	Noun
Did	hizo	Noun
Did He Choose	eligió	Noun
Did He Cook	cocinó	Noun
Did He Do	hizo	Noun
Did He Find	encontró	Noun
Did He Fry	frió	Noun
Did He Go	fue	Noun
Did He Live	vivió	Noun
Did He Say	dijo	Noun
Did He Shut	cerró	Noun
Did He Study	estudió	Noun
Did He Talk	habló	Noun
Did He Tell	dijo	Noun
Did He Use To Be	era	Noun
Did He Want	quería	Noun
Did I Put	puse	Noun
Did It Begin	comenzó	Noun
Did It Depart	salió	Noun
Did It Start	empezó	Noun
Did She Buy	compró	Noun
Did She Choose	eligió	Noun
Did She Eat	comió	Noun
Did She Have	tenía	Noun
Did She Have	tuvo	Noun
Did She Open	abrió	Noun
Did She Put	puso	Noun
Did She Say	dijo	Noun
Did She Sleep	durmió	Noun
Did She Use To Eat	comía	Noun
Did She Use To Play	jugaba	Noun
Did They Buy	compraron	Noun
Did They Clean	limpiaron	Noun
Did They Close	cerraron	Noun
Did They Cook	cocinaron	Noun
Did They Do	hicieron	Noun
Did They Go	fueron	Noun
Did They Have	tuvieron	Noun
Did They Learn	aprendieron	Noun
Did They Leave	salieron	Noun
Did They Live	vivían	Noun
Did They Meet	conoció	Noun
Did They Open	abrieron	Noun
Did They Order	pidieron	Noun
Did They Put	pusieron	Noun
Did They Say	dijeron	Noun
Did They Sleep	durmieron	Noun
Did They Use To Live	vivían	Noun
Did They Wash	lavaron	Noun
Did They Watch	miraron	Noun
Did They Write	escribieron	Noun
Did We Buy	compramos	Noun
Did We Do	hicimos	Noun
Did We Give	dimos	Noun
Did We Include	incluimos	Noun
Did We Listen To	escuchamos	Noun
Did We Send	pasamos	Noun
Did You Bring	trajeron	Noun
Did You Bring	trajiste	Noun
Did You Bring	trajo	Noun
Did You Buy	compraron	Noun
Did You Buy	compraste	Noun
Did You Come	vinieron	Noun
Did You Come	viniste	Noun
Did You Do	hiciste	Noun
Did You Drink	bebieron	Noun
Did You Drink	bebiste	Noun
Did You Drink	bebió	Noun
Did You Eat	comieron	Noun
Did You Eat	comiste	Noun
Did You Eat	comió	Noun
Did You Enjoy	disfrutaron	Noun
Did You Enjoy	disfrutaste	Noun
Did You Enjoy	disfrutó	Noun
Did You Fall Asleep	dormiste	Noun
Did You Find	encontraron	Noun
Did You Find	encontraste	Noun
Did You Find Out	supiste	Noun
Did You Get	compraste	Noun
Did You Get	llegaste	Noun
Did You Get	pusiste	Noun
Did You Give	diste	Noun
Did You Go	fuiste	Noun
Did You Go On	hiciste	Noun
Did You Go Out	saliste	Noun
Did You Have	tuvieron	Noun
Did You Have	tuviste	Noun
Did You Have	tuvo	Noun
Did You Hear That	oíste que	Noun
Did You Learn	aprendieron	Noun
Did You Learn	aprendiste	Noun
Did You Leave	saliste	Noun
Did You Live	viviste	Noun
Did You Love	encantaron	Noun
Did You Love	encantó	Noun
Did You Make	hicieron	Noun
Did You Make	hiciste	Noun
Did You Meet	conocieron	Noun
Did You Meet	conociste	Noun
Did You Open	abriste	Noun
Did You Pay	pagó	Noun
Did You Pay For	pagaste	Noun
Did You Play	hiciste	Noun
Did You Put	pusieron	Noun
Did You Put	pusiste	Noun
Did You Reach	llegaste	Noun
Did You Read	leyeron	Noun
Did You Read	leyó	Noun
Did You Read	leíste	Noun
Did You Ride	montaste	Noun
Did You Run	corrió	Noun
Did You Say	dijiste	Noun
Did You See	viste	Noun
Did You Sleep	dormiste	Noun
Did You Speak	hablaste	Noun
Did You Study	estudiaste	Noun
Did You Tell	dijiste	Noun
Did You Travel	viajaron	Noun
Did You Travel	viajaste	Noun
Did You Travel	viajó	Noun
Did You Try	probaste	Noun
Did You Use To Eat	comían	Noun
Did You Use To Eat	comías	Noun
Did You Use To Go	iban	Noun
Did You Use To Go	ibas	Noun
Did You Use To Have	tenían	Noun
Did You Use To Have	tenías	Noun
Did You Use To Live	vivían	Noun
Did You Use To Live	vivías	Noun
Did You Use To Play	jugaban	Noun
Did You Use To Play	jugabas	Noun
Did You Use To Read	leías	Noun
Did You Use To Ride	montabas	Noun
Did You Use To See	veían	Noun
Did You Use To See	veías	Noun
Did You Use To Study	estudiabas	Noun
Did You Use To Swim	nadabas	Noun
Did You Use To Visit	visitaban	Noun
Did You Visit	visitaron	Noun
Did You Visit	visitaste	Noun
Did You Visit	visitó	Noun
Did You Walk	anduvieron	Noun
Did You Walk	anduviste	Noun
Did You Walk	caminaron	Noun
Did You Walk	caminaste	Noun
Did You Walk	caminó	Noun
Did You Want	quisiste	Noun
Did You Watch	viste	Noun
Did You Write	escribiste	Noun
Did You Write	escribió	Noun
Didactic Material	el material didáctico	Noun
Didn't	aceptar	Noun
Didn't	atrapar	Noun
Didn't	cobrar	Noun
Didn't	comprar	Noun
Didn't	comunicar	Noun
Didn't	conocer	Noun
Didn't	creer	Noun
Didn't	dejar	Noun
Didn't	durar	Noun
Didn't	eliminar	Noun
Didn't	empacar	Noun
Didn't	encender	Noun
Didn't	encontrar	Noun
Didn't	entrar	Noun
Didn't	esconderse	Noun
Didn't	escuchar	Noun
Didn't	existir	Noun
Didn't	hervir	Noun
Didn't	inventar	Noun
Didn't	limpiar	Noun
Didn't	llover	Noun
Didn't	medir	Noun
Didn't	mostrar	Noun
Didn't	olvidar	Noun
Didn't	ordenar	Noun
Didn't	pelear	Noun
Didn't	perdonar	Noun
Didn't	permitir	Noun
Didn't	poder	Noun
Didn't	preguntar	Noun
Didn't	querer	Noun
Didn't	reaccionar	Noun
Didn't	reconocer	Noun
Didn't	revolver	Noun
Didn't	robar	Noun
Didn't	salir	Noun
Didn't	seguir	Noun
Didn't	sentir	Noun
Didn't	ser	Noun
Didn't	significar	Noun
Didn't	tener	Noun
Didn't	terminar	Noun
Didn't	trabajar	Noun
Didn't	traer	Noun
Didn't	venir	Noun
Didn't Remember	me acordé	Noun
Didn’t	salir	Noun
Die	dado	Noun
Die	morir	Noun
Die	morirte	Noun
Die	muere	Noun
Die	mueren	Noun
Die	mueres	Noun
Die	muero	Noun
Die	murieron	Noun
Die	murió	Noun
Died	calmarse	Noun
Died	morirán	Noun
Died	morías	Noun
Died	muerto	Noun
Died	murieron	Noun
Died	murió	Noun
Diesel	diésel	Noun
Diet	alimentación	Noun
Diet	dieta	Noun
Diet	régimen	Noun
Difference	desacuerdos	Noun
Difference	diferencia	Noun
Different	cambiado	Noun
Different	diferente	Noun
Different	distinto	Noun
Different	diverso	Noun
Different	original	Noun
Differentiate Between	diferencia	Noun
Differentiates Between	diferencia	Noun
Differently	diferente	Adverb
Difficult	difícil	Noun
Difficult	difíciles	Noun
Difficulty	dificultad	Noun
Difficulty	problema	Noun
Dig	abran	Noun
Dig	abras	Noun
Dig	cava	Noun
Dig	cavar	Noun
Dig	caves	Noun
Dig	escarba	Noun
Dig	excavando	Noun
Dig Over	volvamos	Noun
Dig Over	volver	Noun
Digital	digital	Noun
Digital Certificate For Secure Identity Verification Online	el certificado digital	Noun
Dilemma	el dilema	Noun
Diligence	industria	Noun
Diminish	disminuir	Noun
Diminutive Suffix	ito	Noun
Diner	diners	Noun
Diner	restaurante	Noun
Dining Room	comedor	Noun
Dinner	cena	Noun
Dinner	cenado	Noun
Dinner	cenar	Noun
Dinner	cene	Noun
Dinner	la cena	Noun
Dinner's	comida	Noun
Dinosaur	dinosaurio	Noun
Dinosaur's	dinosaurio	Noun
Dip	salsa	Noun
Diploma	diploma	Noun
Diplomatic	política	Noun
Diplomatic	político	Noun
Direct	directa	Noun
Direct	directamente	Noun
Direct	directo	Noun
Direct	directos	Noun
Direct	dirige	Noun
Direct	dirigen	Noun
Direct	dirigir	Noun
Direct	dirijo	Noun
Direct	exacto	Noun
Direct	franco	Noun
Direct	manda	Noun
Direct	mandan	Noun
Direct	mandar	Noun
Direct	mando	Noun
Direct	ordena	Noun
Direct	ordenan	Noun
Direct	ordenar	Noun
Direct	ordeno	Noun
Direction	dirección	Noun
Direction	la dirección	Noun
Directions	direcciones	Noun
Directions	indicaciones	Noun
Director	administrador	Noun
Director	directora	Noun
Director	el director	Noun
Director	la directora	Noun
Director	mánager	Noun
Director Of Photography	el director de fotografía	Noun
Dirt	barro	Noun
Dirt	lodo	Noun
Dirt	mugre	Noun
Dirt	suciedad	Noun
Dirt	tierra	Noun
Dirties	verdes	Noun
Dirty	asquerosas	Noun
Dirty	barroso	Noun
Dirty	contaminar	Noun
Dirty	embarrado	Noun
Dirty	embarrados	Noun
Dirty	enlodadas	Noun
Dirty	enlodado	Noun
Dirty	ensuciaste	Noun
Dirty	mancha	Noun
Dirty	manchado	Noun
Dirty	manchar	Noun
Dirty	manchará	Noun
Dirty	manchas	Noun
Dirty	repugnante	Noun
Dirty	sucia	Noun
Dirty	sucias	Noun
Dirty	sucio	Noun
Dirty	sucios	Noun
Dirty Joke	un chiste verde	Noun
Dirty Old Man	un viejo verde	Noun
Disabilities	discapacidad	Noun
Disability	discapacidad	Noun
Disabled	discapacitada	Verb
Disabled	discapacitadas	Verb
Disabled	discapacitado	Verb
Disabled	discapacitados	Verb
Disabled	incapacitada	Verb
Disabled	incapacitadas	Verb
Disabled	incapacitado	Verb
Disabled	incapacitados	Verb
Disabled	inútil	Verb
Disabled	minusválida	Verb
Disabled	minusválidas	Verb
Disabled	minusválido	Verb
Disabled	minusválidos	Verb
Disabled	paralítica	Verb
Disabled	paralíticas	Verb
Disabled	paralítico	Verb
Disabled	paralíticos	Verb
Disabled	parapléjica	Verb
Disabled	parapléjicas	Verb
Disabled	parapléjico	Verb
Disabled	parapléjicos	Verb
Disadvantage	desventaja	Noun
Disagree	discrepan	Noun
Disagree	estás en desacuerdo	Noun
Disagree	no está de acuerdo	Noun
Disagreement	desacuerdo	Noun
Disagreement	desacuerdos	Noun
Disagreement	discusión	Noun
Disappear	desaparecen	Noun
Disappear	desaparecer	Noun
Disappear	desapareciera	Noun
Disappear	desaparecieran	Noun
Disappear	desaparecieron	Noun
Disappear	desapareciste	Noun
Disappear	desaparezca	Noun
Disappear	desvanecerse	Noun
Disappear	irse	Noun
Disappoint	decepciona	Noun
Disappoint	decepcionadas	Noun
Disappoint	decepcionan	Noun
Disappoint	decepcionar	Noun
Disappoint	decepcionara	Noun
Disappoint	decepcionaré	Noun
Disappoint	defraudan	Noun
Disappoint	defraudar	Noun
Disappoint	defraudará	Noun
Disappoint	defraudaré	Noun
Disappoint	defraude	Noun
Disappoint	defrauden	Noun
Disappointed	decepcionaba	Verb
Disappointed	decepcionaban	Verb
Disappointed	decepcionabas	Verb
Disappointed	decepcionada	Verb
Disappointed	decepcionado	Verb
Disappointed	decepcionados	Verb
Disappointed	decepcionaron	Verb
Disappointed	decepcionaste	Verb
Disappointed	decepcioné	Verb
Disappointed	decepcionó	Verb
Disappointed	defraudaba	Verb
Disappointed	defraudaban	Verb
Disappointed	defraudabas	Verb
Disappointed	defraudado	Verb
Disappointed	defraudar	Verb
Disappointed	defraudaron	Verb
Disappointed	defraudaste	Verb
Disappointed	defraudé	Verb
Disappointed	defraudó	Verb
Disappointed	desilusionada	Verb
Disappointed	desilusionadas	Verb
Disappointed	desilusionado	Verb
Disappointed	desilusionados	Verb
Disappointing	decepcionante	Verb
Disappointment	decepción	Noun
Disaster	desastre	Noun
Disaster	desgracia	Noun
Discard	tirar	Adjective
Discipline	controlar	Noun
Disclose	publicar	Noun
Disclosed	publicado	Verb
Discomfort	malestar	Noun
Discomfort	molestia	Noun
Disconnect	desconectar	Noun
Discount	descuento	Noun
Discount	el descuento	Noun
Discounts	descuento	Noun
Discounts	rebaja	Noun
Discounts	reducir	Noun
Discouraged	desanimada	Verb
Discouraged	desanimado	Verb
Discouraged	desanimarme	Verb
Discouraged	te desanimarás	Verb
Discover	descubran	Noun
Discover	descubrieron	Noun
Discover	descubrir	Noun
Discover	descubrirlas	Noun
Discover	descubrirá	Noun
Discover	encuentre	Noun
Discover	enteraban	Noun
Discover	hallamos	Noun
Discover	hallé	Noun
Discover	halló	Noun
Discovering	descubrir	Verb
Discovery	descubrimiento	Noun
Discreet	discreto	Noun
Discrimination	discriminación	Noun
Discuss	abordará	Noun
Discuss	argumentaré	Noun
Discuss	debate	Noun
Discuss	discutamos	Noun
Discuss	discutan	Noun
Discuss	discuten	Noun
Discuss	discutiendo	Noun
Discuss	discutimos	Noun
Discuss	discutir	Noun
Discuss	discutiste	Noun
Discuss	discutía	Noun
Discuss	discutíamos	Noun
Discuss	hablar	Noun
Discuss	hables	Noun
Discusses	debate	Noun
Discussion	debate	Noun
Discussion	discusión	Noun
Disease	enfermedad	Noun
Disease	enfermedades	Noun
Disgrace	vergüenza	Noun
Disguise	atuendo	Noun
Disguise	disfraz	Noun
Disguise	disfrazará	Noun
Disguise	disfrazaste	Noun
Disguise	disfrazo	Noun
Disgust	asco	Noun
Disgusting	asqueroso	Verb
Dish	fuente	Noun
Dish	plato	Noun
Dish	un plato	Noun
Dish Of The Day	especial del día	Noun
Dish Of The Day	plato del día	Noun
Dishonest	deshonesto	Noun
Dishwasher	el lavavajillas	Noun
Dishwasher	lavaplatos	Noun
Dishwasher	lavavajillas	Noun
Dishwashing Machine	lavaplatos	Noun
Dislike	aversión	Noun
Dislike	desagrada	Noun
Dislike	desagradan	Noun
Dislike	desagradó	Noun
Dislike	odiarías	Noun
Dismal	triste	Noun
Disorganized	desorganizado	Verb
Dispatch	envío	Noun
Display	demostración	Noun
Display	demostrar	Noun
Display	despliegue	Noun
Display	exhiben	Noun
Display	exhibición	Noun
Display	exhibir	Noun
Display	expondría	Noun
Display	exponer	Noun
Display	exposición	Noun
Display	lucir	Noun
Display	manifestar	Noun
Display	muestra	Noun
Display	presentar	Noun
Display	presentaría	Noun
Display	show	Noun
Display	visualizar	Noun
Displaying	mostrar	Verb
Displays	presentar	Noun
Dispose Of	realizar	Noun
Distance	aleja	Noun
Distance	alejaban	Noun
Distance	alejan	Noun
Distance	alejar	Noun
Distance	aleje	Noun
Distance	distancia	Noun
Distance	distancien	Noun
Distance	la lejanía	Noun
Distance Oneself	alejarse	Noun
Distinct	distinto	Noun
Distinct	obvio	Noun
Distinguish Oneself	significar	Noun
Distract	distrae	Noun
Distract	distraer	Noun
Distract	distraernos	Noun
Distract	distraigan	Noun
Distract	distraigas	Noun
Distracted	distraído	Verb
Distressed	angustiado	Verb
Distribute	repartir	Noun
Distributing	distribuyendo	Adjective
District	distrito	Noun
District	región	Noun
Distrustful	desconfiado	Noun
Disturb	molesto	Noun
Diverse	diverso	Noun
Divide	(línea divisoria de aguas	Noun
Divide	brecha	Noun
Divide	compartida	Noun
Divide	dividieron	Noun
Divide	dividimos	Noun
Divide	dividir	Noun
Divide	dividirse	Noun
Divide	dividiríamos	Noun
Divide	divisorio	Noun
Divide	línea divisoria	Noun
Divide	repartir	Noun
Divide	repartiré	Noun
Divide	repartí	Noun
Divide	separar	Noun
Divide	separaran	Noun
Divide	separaron	Noun
Divide	votar	Noun
Dividends	los rendimientos de capital	Noun
Diving	buceo	Verb
Diving	salto	Verb
Divorce	divorciar	Noun
Divorce	divorciarse	Noun
Divorce	divorciaré	Noun
Divorce	divorcio	Noun
Divorce	divórciate	Noun
Divorced	divorciada	Verb
Divorced	divorciadas	Verb
Divorced	divorciado	Verb
Divorced	divorciados	Verb
Divorced	divorciaron	Verb
Divorced	divorciarse	Verb
Divorced	divorciábamos algo	Verb
Divorced	divorcié algo	Verb
Divorced	se divorció	Verb
Divulge	publicar	Noun
Divulged	publicado	Verb
Diy	el bricolaje	Noun
Dizziness	mareo	Noun
Dizzy	mareado	Noun
Dizzy	mareo	Noun
Do	actúe	Verb
Do	ase	Verb
Do	cometiera	Verb
Do	dedica	Verb
Do	dedicas	Verb
Do	hablas	Verb
Do	hace	Verb
Do	hacemos	Verb
Do	hacen	Verb
Do	hacer	Verb
Do	hacerle	Verb
Do	hacerse	Verb
Do	hacerte	Verb
Do	haces	Verb
Do	hacíais	Verb
Do	haga	Verb
Do	hagamos	Verb
Do	hagan	Verb
Do	hagas	Verb
Do	hago	Verb
Do	hará	Verb
Do	harán	Verb
Do	harás	Verb
Do	haré	Verb
Do	haría	Verb
Do	haríamos	Verb
Do	harían	Verb
Do	harías	Verb
Do	haz	Verb
Do	hice	Verb
Do	hiciera	Verb
Do	hicieran	Verb
Do	hicieras	Verb
Do	hicimos	Verb
Do	hiciste	Verb
Do	hiciéramos	Verb
Do	meta	Verb
Do	peinar	Verb
Do	practicaran	Verb
Do	qué hacemos	Verb
Do	realizar	Verb
Do	tomar	Verb
Do	tomara	Verb
Do	tú haces	Verb
Do A Good Job	desempeñarse bien	Noun
Do I	tengo	Noun
Do I Close	cierro	Noun
Do I Know	conozco	Noun
Do I Need	necesito	Noun
Do I Put	pongo	Noun
Do I Turn	giro	Noun
Do It	hacerla	Noun
Do It	hacerlo	Noun
Do It	hazlo	Noun
Do Research Into	investigar	Noun
Do Their Hair	peinarse	Noun
Do They Cost	cuestan	Noun
Do They Eat Lunch	almuerzan	Noun
Do They Have	tienen	Noun
Do They Hurt	duelen	Noun
Do They Leave	salen	Noun
Do They Like	gustan	Noun
Do They Live	viven	Noun
Do They Need	necesitan	Noun
Do They Speak	hablan	Noun
Do They Study	estudian	Noun
Do They Work	trabajan	Noun
Do Up	cerrar	Noun
Do We Begin	empezamos	Noun
Do We Have	tenemos	Noun
Do We Need	necesitamos	Noun
Do We Say	decimos	Noun
Do We Start	comenzamos	Noun
Do You Buy	compran	Noun
Do You Close	cierras	Noun
Do You Come Back	vuelves	Noun
Do You Do	haces	Noun
Do You Drink	bebe	Noun
Do You Drink	beben	Noun
Do You Drink	bebes	Noun
Do You Eat	come	Noun
Do You Eat	comemos	Noun
Do You Eat	comen	Noun
Do You Eat	comes	Noun
Do You Go	van	Noun
Do You Go	vas	Noun
Do You Happen To	acaso	Noun
Do You Happen To	¿sabes cuándo	Noun
Do You Happen To	¿sabes dónde	Noun
Do You Happen To	¿sabes por casualidad	Noun
Do You Happen To	¿sabes si	Noun
Do You Have	tiene	Noun
Do You Have A Set Menu	¿Tienen menú del día?	Verb
Do You Have Any Idea	¿sabes?	Noun
Do You Have Any Idea	¿tienes alguna idea?	Noun
Do You Have Any Idea	¿tienes idea?	Noun
Do You Have Lunch	almuerzas	Noun
Do You Hear	oyes	Noun
Do You Know	conoces	Noun
Do You Know	sabes	Noun
Do You Know How To	sabes	Noun
Do You Know What I Mean	¿captas lo que digo?	Noun
Do You Know What I Mean	¿entiendes lo que quiero decir?	Noun
Do You Know What I Mean	¿me entiendes?	Noun
Do You Know What I Mean	¿me sigues?	Noun
Do You Know What I Mean	¿sabes a qué me refiero?	Noun
Do You Know When	sabes cuándo	Noun
Do You Know Who	sabes quién	Noun
Do You Live	vive	Noun
Do You Live	viven	Noun
Do You Live	vives	Noun
Do You Need	necesita	Noun
Do You Need	necesitan	Noun
Do You Need	necesitas	Noun
Do You Plan	piensa	Noun
Do You Put	pones	Noun
Do You Read	leen	Noun
Do You Read	lees	Noun
Do You Return	vuelve	Noun
Do You Say	dices	Noun
Do You Speak	habla	Noun
Do You Speak	hablas	Noun
Do You Start	empiezas	Noun
Do You Study	estudia	Noun
Do You Study	estudian	Noun
Do You Study	estudias	Noun
Do You Think I'd Be Able To	¿consideras que podría	Noun
Do You Think I'd Be Able To	¿consideras que pueda	Noun
Do You Think I'd Be Able To	¿crees que podría	Noun
Do You Think I'd Be Able To	¿crees que pueda	Noun
Do You Think I'd Be Able To	¿crees que sería capaz de	Noun
Do You Think I'd Be Able To	¿piensas que podría	Noun
Do You Think I'd Be Able To	¿piensas que pueda	Noun
Do You Think I'd Be Able To	¿piensas que sería capaz de	Noun
Do You Understand	entiende	Noun
Do You Understand	entienden	Noun
Do You Understand	entiendes	Noun
Do You Use	usas	Noun
Do You Want	quiere	Noun
Do You Want	quieren	Noun
Do You Want	quieres	Noun
Do You Wear	usas	Noun
Do You Work	trabaja	Noun
Do You Work	trabajas	Noun
Do You Write	escribe	Noun
Do You Write	escriben	Noun
Do You Write	escribes	Noun
Doctor	doctora	Noun
Doctor	médica	Noun
Doctor	médico	Noun
Doctor	un médico	Noun
Doctor	una médica	Noun
Doctor's	consultorio	Noun
Doctors	adultera	Noun
Doctors	adulterar	Noun
Doctors	amaña	Noun
Doctors	amañar	Noun
Doctors	arregla	Noun
Doctors	arreglar	Noun
Doctors	castra	Noun
Doctors	castrar	Noun
Doctors	cura	Noun
Doctors	curar	Noun
Doctors	doctor	Noun
Doctors	doctora	Noun
Doctors	doctoras	Noun
Doctors	doctores	Noun
Doctors	facultativa	Noun
Doctors	facultativo	Noun
Doctors	falsifica	Noun
Doctors	falsificar	Noun
Doctors	los médicos	Noun
Doctors	médica	Noun
Doctors	médico	Noun
Doctors	médicos	Noun
Doctors	opera	Noun
Doctors	operar	Noun
Doctors	trata	Noun
Doctors	tratar	Noun
Document	documento	Noun
Document Case	cartera	Noun
Documentary	documental	Noun
Documentary	un documental	Noun
Documentation	documentación	Noun
Documents	documentación	Noun
Does	hace	Noun
Does	hacen	Noun
Does	haga	Noun
Does	sí	Noun
Does	verdad	Noun
Does He Do	hace	Noun
Does He Drink	bebe	Noun
Does He Earn	gana	Noun
Does He Have	tienen	Noun
Does He Live	vive	Noun
Does He Need	necesita	Noun
Does He Speak	habla	Noun
Does He Study	estudia	Noun
Does He Want	quiere	Noun
Does He Wear	usa	Noun
Does He Work	trabaja	Noun
Does It Arrive	llega	Noun
Does It Close	cierra	Noun
Does It Cost	cuesta	Noun
Does It Have	tiene	Noun
Does It Hurt	duele	Noun
Does It Leave	sale	Noun
Does It Open	abre	Noun
Does It Rain	llueve	Noun
Does It Seem	parece	Noun
Does It Snow	nieva	Noun
Does It Start	empieza	Noun
Does It Take	toma	Noun
Does She Buy	compra	Noun
Does She Come	viene	Noun
Does She Eat	come	Noun
Does She Have	tiene	Noun
Does She Live	vive	Noun
Does She Need	necesita	Noun
Does She Return	vuelve	Noun
Does She Understand	entiende	Noun
Does She Want	quiere	Noun
Does She Work	trabaja	Noun
Does She Work	trabajar	Noun
Does She Write	escribe	Noun
Doesn't	conocer	Noun
Doesn't	dejar	Noun
Doesn't	encender	Noun
Doesn't	escuchar	Noun
Doesn't	estar	Noun
Doesn't	merecer	Noun
Doesn't	molestar	Noun
Doesn't	prometer	Noun
Doesn't	querer	Noun
Doesn't	ser	Noun
Doesn't	significar	Noun
Doesn't	tener	Noun
Doesn’t	tener	Noun
Dog	perra	Noun
Dog	perro	Noun
Dog	perros	Noun
Dogs	los perros	Noun
Dogs	perras	Noun
Dogs	perros	Noun
Doing	estar	Verb
Doing	hace	Verb
Doing	hacer	Verb
Doing	haciendo	Verb
Doing It	hacerlo	Noun
Doll	muñeca	Noun
Doll	muñecas	Noun
Doll	pimpón	Noun
Dollar	dólar	Noun
Dollar Bill	verdes	Noun
Dollars	dólares	Noun
Dolphin	delfines	Noun
Dolphin	delfín	Noun
Dolphin	el delfín	Noun
Domestic	doméstico	Noun
Domestic	nacional	Noun
Dominoes	dominó	Noun
Dominoes	dominós	Noun
Dominoes	ficha de dominó	Noun
Don't	arruinar	Noun
Don't	decorar	Noun
Don't	eliminar	Noun
Don't	fiesta	Noun
Don't	quitar	Noun
Don't	subir	Noun
Don't Cast Pearls Before Swine	no está hecha la miel para la boca del asno	Adjective
Don't Forget To	acuérdate de	Noun
Don't Forget To	recuerda	Noun
Don't Mention It	no tienes por qué	Noun
Done	hacer	Noun
Done	hechas	Noun
Done	hecho	Noun
Done	lavar	Noun
Done	terminó	Noun
Done Your Hair	peinado	Noun
Donkey	asno	Noun
Donkey	burra	Noun
Donkey	burro	Noun
Doodad	herramienta	Noun
Door	la puerta	Noun
Door	puerta	Noun
Door On An Advent Calendar	una casilla	Noun
Doorbell	timbre	Noun
Doorman	portero	Noun
Door’s	puerta	Noun
Dorado	dorado	Noun
Dorm	dormitorio	Noun
Dormitory	dormitorio	Noun
Dosh	mosca	Noun
Dot	punto	Noun
Double	doble	Noun
Double	dobles	Noun
Double Bet	una apuesta doble	Noun
Doubt	duda	Noun
Doubt	dudar	Noun
Doubtful	dudoso	Noun
Dough	feria	Noun
Dough	lana	Noun
Dough	masa	Noun
Dough	mosca	Noun
Dove	paloma	Noun
Down	abajo	Noun
Down	bajar	Noun
Down	por	Noun
Down With	abajo	Noun
Download	bajaremos	Noun
Download	bajará	Noun
Download	descarga	Noun
Download	descargar	Noun
Download	descargarla	Noun
Download	descargarlo	Noun
Download	descargarse	Noun
Download	descargas	Noun
Download	descargaste	Noun
Download	descargue	Noun
Download	descarguemos	Noun
Download	descargué	Noun
Download	descargó	Noun
Downloaded	descargar	Verb
Downloaded	descargué	Verb
Downloads	descargar	Noun
Downstairs	abajo	Noun
Downtown	centro	Noun
Dozen	docena	Noun
Dozen	docenas	Noun
Draft	aire	Noun
Draft	borrador	Noun
Draft	efecto	Noun
Draft Tax Return Provided By The Tax Agency Based On Available Data	el borrador de la declaración	Noun
Drag	arrastrar	Noun
Drag Oneself	arrastrarse	Noun
Dragon	dragón	Noun
Drain	el desagüe	Noun
Drain	estilo	Noun
Drama	arte dramático	Noun
Drama	de arte dramático	Noun
Drama	dramatismo	Noun
Drama	obra dramática	Noun
Drama	teatro	Noun
Drama	un drama	Noun
Drama	una película dramática	Noun
Drama	≈ expresión corporal	Noun
Dramatic	dramático	Noun
Drank	bebieras	Noun
Drank	bebieron	Noun
Drank	bebimos	Noun
Drank	bebiste	Noun
Drank	bebió	Noun
Drank	bebí	Noun
