English	Chinese	Pinyin	Part of Speech
Born	出生	chū shēng	Noun
Born	出生的	chū shēng de	Noun
Born	天生	tiānshēng	Noun
Born	生于	shēng yú	Noun
Borrow	借	jiè	Verb
Boss	上司	shàng sī	Noun
Boss	头儿	tóu er	Noun
Boss	老大	lǎo dà	Noun
Boss	老板	lǎo bǎn	Noun
Boss	领导	lǐng dǎo	Noun
Bosses	老板	lǎo bǎn	Noun
Botany	植物	zhíwù	Noun
Both	两个	liǎng gè	Noun
Both	两个都	liǎng gè dōu	Noun
Both	两件都	liǎng jiàn dōu	Noun
Both	两位	liǎng wèi	Noun
Both	两家	liǎng jiā	Noun
Both	两所	liǎng suǒ	Noun
Both	两条都	liǎng tiáo dōu	Noun
Both	两样	liǎng yàng	Noun
Both	两部	liǎng bù	Noun
Both	两间	liǎng jiān	Noun
Both	兩個	liǎng gè	Noun
Both	又	yòu	Noun
Both	双	shuāng	Noun
Both	既	jì	Noun
Both	既有	jì yǒu	Noun
Both	都	dōu	Noun
Both Of	这两个	zhè liǎng gè	Noun
Both Parties	双方	shuāng fāng	Noun
Both Sides	两边	liǎng biān	Noun
Both Sides	双方	shuāngfāng	Noun
Bother	干扰	gānrǎo	Noun
Bother	影响	yǐng xiǎng	Noun
Bother	打扰	dǎ rǎo	Noun
Bothering	打扰	dǎ rǎo	Verb
Bothers	打扰	dǎ rǎo	Noun
Bottle	奶瓶	nǎi píng	Noun
Bottle	瓶	píng	Noun
Bottle	瓶子	píng zi	Noun
Bottle Of	瓶	píng	Noun
Bottles	瓶	píng	Noun
Bottles Of	瓶	píng	Noun
Bottom	底	dǐ	Noun
Bottom	底部	dǐ bù	Noun
Bottom	最下面	zuì xià miàn	Noun
Bottom Line	底线	dǐ xiàn	Noun
Bought	买	mǎi	Noun
Bought	买了	mǎi le	Noun
Bought	买了给	mǎi le gěi	Noun
Bought	买的	mǎi de	Noun
Bought	买过	mǎi guò	Noun
Bought	艾玛买	ài mǎ mǎi	Noun
Bound To	肯定的	kěn dìng de	Noun
Boundary	界限	jiè xiàn	Noun
Boundary	边界	biān jiè	Noun
Boundless	茫茫	mángmáng	Adjective
Boundless Hospitality	盛情	shèngqíng	Noun
Bouquet	整束	zhěng shù	Noun
Bouquet	束	shù	Noun
Bouquet	瑰	guī	Noun
Bouquet	花束	huā shù	Noun
Bouquet	这束	zhè shù	Noun
Bouquet	那束	nà shù	Noun
Bow	鞠躬	jū gōng	Verb
Bow Tie	领结	lǐng jié	Noun
Bowl	碗	wǎn	Noun
Box	盒	hé	Noun
Box	盒子	hé zi	Noun
Box	箱子	xiāng zi	Noun
Box Office	票房	piào fáng	Noun
Boxed Meal	盒饭	hé fàn	Noun
Boxes	五箱	wǔ xiāng	Noun
Boxes	盒	hé	Noun
Boxes	盒子	hé zi	Noun
Boxes	箱子	xiāng zi	Noun
Boxes	纸箱	zhǐ xiāng	Noun
Boxing	拳击	quán jī	Verb
Boy	男	nán	Noun
Boy	男孩	nán hái	Noun
Boy	男孩儿	nán hái ér	Noun
Boy	男孩子	nán hái zi	Noun
Boycott	抵制	dǐ zhì	Noun
Boyfriend	男友	nán yǒu	Noun
Boyfriend	男朋友	nán péng yǒu	Noun
Bra	胸罩	xiōng zhào	Noun
Brace	支撑	zhīchēng	Noun
Bracelet	手环	shǒu huán	Noun
Bracelet	手链	shǒu liàn	Noun
Bracelet	手镯	shǒu zhuó	Noun
Bracelet	腕带	wàn dài	Noun
Brag	吹牛	chuīniú	Noun
Braille	盲文	máng wén	Noun
Brain	大脑	dà nǎo	Noun
Brake	刹	shā	Verb
Brake	刹车	shā chē	Verb
Braked	刹车	shā chē	Verb
Brakes	刹车	shā chē	Noun
Branch	分会	fēn huì	Noun
Branch	分店	fēn diàn	Noun
Branch	分支	fēn zhī	Noun
Branch	分支机构	fēn zhī jī gòu	Noun
Branch	分行	fēn xíng	Noun
Branch	店点	diàn diǎn	Noun
Branch	支	zhī	Noun
Branch	枝	zhī	Noun
Branch	树枝	shù zhī	Noun
Branch	棍子	gùn zi	Noun
Branch	肢	zhī	Noun
Branch	门店	mén diàn	Noun
Branch Office	分行	fēn xíng	Noun
Brand	全新的	quán xīn de	Noun
Brand	品牌	pǐn pái	Noun
Brand	牌子	pái zi	Noun
Brand New	全新的	quán xīn de	Noun
Brave	勇敢	yǒng gǎn	Adjective
Brave	勇敢的	yǒng gǎn de	Adjective
Brave	壮烈	zhuàngliè	Adjective
Brave	很勇敢	hěn yǒng gǎn	Adjective
Brave Volunteer	勇敢志愿者	yǒng gǎn zhì yuàn zhě	Noun
Brave Volunteer	勇敢的志愿者	yǒng gǎn de zhì yuàn zhě	Noun
Bravery	勇敢	yǒng gǎn	Noun
Brazil	巴西	bā xī	Noun
Brazilian	巴西人	bā xī rén	Noun
Brazilian	巴西的	bā xī de	Noun
Breach	突破	tūpò	Noun
Breach	缺口	quēkǒu	Noun
Breaches	破坏	pò huài	Noun
Bread	面包	miàn bāo	Noun
Break	休息	xiū xī	Verb
Break	弄坏	nòng huài	Verb
Break	打断	dǎ duàn	Verb
Break	打破	dǎ pò	Verb
Break	打碎	dǎ suì	Verb
Break	扭伤	niǔ shāng	Verb
Break	放假	fàng jiǎ	Verb
Break	断	duàn	Verb
Break	闯进	chuǎng jìn	Verb
Break Between Classes	课间	kè jiān	Noun
Break Down	抛锚	pāo máo	Noun
Break Into	闯进	chuǎng jìn	Noun
Break Off With Fingers And Thumb	掰	bāi	Noun
Break Out	突发	tū fā	Noun
Break Room	休息室	xiū xī shì	Noun
Break The Law	违法	wéi fǎ	Noun
Break Up	分手	fēn shǒu	Verb
Break Up	破裂	pò liè	Verb
Breakfast	早点	zǎo diǎn	Noun
Breakfast	早餐	zǎo cān	Noun
Breakfast	早饭	zǎo fàn	Noun
Breaks	休息	xiū xī	Noun
Breaks	破坏	pò huài	Noun
Breakthrough	突破	tū pò	Noun
Breakup	分手	fēn shǒu	Noun
Breakup	失恋	shī liàn	Noun
Breakup	收场	shōu chǎng	Noun
Breaststroke	蛙泳	wā yǒng	Noun
Breathable	透气	tòu qì	Noun
Breathe	呼	hū	Noun
Breathe	呼吸	hū xī	Noun
Breathe	喘息	chuǎn xī	Noun
Breathe	气来	qì lái	Noun
Breathing	呼吸	hūxī	Noun
Breed	品种	pǐn zhǒng	Verb
Breed	孕育	yùnyù	Verb
Brewing	酝酿	yùnniàng	Verb
Bribery	贿赂	huìlù	Noun
Brick	砖	zhuān	Noun
Brick	砖头	zhuān tóu	Noun
Bride	新娘	xīn niáng	Noun
Bridesmaid	伴娘	bàn niáng	Noun
Bridge	桥	qiáo	Noun
Bridge	桥梁	qiáoliáng	Noun
Brief	简短	jiǎn duǎn	Noun
Briefly	简言之	jiǎn yán zhī	Adverb
Bright	五颜六色	wǔ yán liù sè	Adjective
Bright	亮	liàng	Adjective
Bright	光明	guāngmíng	Adjective
Bright	好亮	hǎo liàng	Adjective
Bright	很亮	hěn liàng	Adjective
Bright	很亮的	hěn liàng de	Adjective
Bright	明亮	míng liàng	Adjective
Bright	晰	xī	Adjective
Bright	洪亮	hóng liàng	Adjective
Bright	灿烂	cànlàn	Adjective
Bright	艳	yàn	Adjective
Bright	艳丽	yàn lì	Adjective
Bright	豔	yàn	Adjective
Bright	阳光充足	yáng guāng chōng zú	Adjective
Bright	高明	gāomíng	Adjective
Bright	鮮	xiān	Adjective
Bright	鲜艳	xiān yàn	Adjective
Brilliance	光彩	guāngcǎi	Noun
Brilliant	出色的	chū sè de	Adjective
Brilliant	辉煌	huīhuáng	Adjective
Brilliant	高明	gāomíng	Adjective
Bring	叫上	jiào shàng	Verb
Bring	带	dài	Verb
Bring	带上	dài shàng	Verb
Bring	给	gěi	Verb
Bring Along	叫上	jiào shàng	Noun
Bring Dishes	上菜	shàng cài	Noun
Bring Food	上菜	shàng cài	Noun
Bring Up	提出	tí chū	Noun
Bring Up	提起	tí qǐ	Noun
Brings	给	gěi	Noun
Britain	英国	yīng guó	Noun
British	英国	yīng guó	Noun
British	英国人	yīng guó rén	Noun
British	英国的	yīng guó de	Noun
British	英式	yīng shì	Noun
British Museum	大英博物馆	dà yīng bó wù guǎn	Noun
Broad	广	guǎng	Noun
Broad And Profound	博大精深	bódàjīngshēn	Adjective
Broadcast	广播	guǎng bō	Noun
Broadcast	播出	bō chū	Noun
Broaden	扩大	kuò dà	Noun
Broadway Musical	百老汇音乐剧	bǎi lǎo huì yīn yuè jù	Noun
Broccoli	西兰花	xī lán huā	Noun
Brochure	手冊	shǒu cè	Noun
Broke	坏了	huài le	Noun
Broke	弄坏了	nòng huài le	Noun
Broke	打破	dǎ pò	Noun
Broke	打破了	dǎ pò le	Noun
Broke	打碎	dǎ suì	Noun
Broke	扭伤了	niǔ shāng le	Noun
Broke	摔断	shuāi duàn	Noun
Broke	摔断了	shuāi duàn le	Noun
Broke	破	pò	Noun
Broke	破产	pò chǎn	Noun
Broke Up	分手	fēn shǒu	Noun
Broke Up	分手了	fēn shǒu le	Noun
Broken	伤碎	shāng suì	Verb
Broken	受损	shòu sǔn	Verb
Broken	坏	huài	Verb
Broken	坏了	huài le	Verb
Broken	坏掉	huài diào	Verb
Broken	坏掉的	huài diào de	Verb
Broken	坏的	huài de	Verb
Broken	坏过	huài guò	Verb
Broken	已损坏	yǐ sǔn huài	Verb
Broken	心碎	xīn suì	Verb
Broken	打破了	dǎ pò le	Verb
Broken	摔断	shuāi duàn	Verb
Broken	断了	duàn le	Verb
Broken	旧得	jiù dé	Verb
Broken	没法用	méi fǎ yòng	Verb
Broken	灯坏	dēng huài	Verb
Broken	烂	làn	Verb
Broken	用坏了	yòng huài le	Verb
Broken	破	pò	Verb
Broken	破掉的	pò diào de	Verb
Broken	破碎	pò suì	Verb
Broken	碎	suì	Verb
Broken	骨折	gǔ zhé	Verb
Bronze	铜牌	tóng pái	Noun
Bronze	青铜	qīng tóng	Noun
Brook	溪	xī	Noun
Brook No Delay	刻不容缓	kèbùrónghuǎn	Noun
Broom	扫把	sǎo bǎ	Noun
Broth	高汤	gāo tāng	Noun
Brother	兄	xiōng	Noun
Brother	兄弟	xiōng dì	Noun
Brother	哥	gē	Noun
Brother	哥哥	gē gē	Noun
Brother	弟	dì	Noun
Brother	弟弟	dì dì	Noun
Brothers	弟	dì	Noun
Brought	人带	rén dài	Noun
Brought	带了	dài le	Noun
Brought	带来了	dài lái le	Noun
Brought	带给	dài gěi	Noun
Brought	给	gěi	Noun
Brought	美带	měi dài	Noun
Brown	棕	zōng	Adjective
Brown	棕色	zōng sè	Adjective
Brown	棕色的	zōng sè de	Adjective
Brown Sugar	红糖	hóng táng	Noun
Browse	浏览	liú lǎn	Noun
Browser	浏览器	liú lǎn qì	Noun
Bruise	发紫	fā zǐ	Noun
Bruise	发青	fā qīng	Noun
Bruise	淤青	yū qīng	Noun
Bruise	瘀伤	yū shāng	Noun
Brunch	早午餐	zǎo wǔ cān	Noun
Brush	刷	shuā	Noun
Brush	刷子	shuā zi	Noun
Brush	毛笔	máo bǐ	Noun
Brush One’s Teeth	刷牙	shuāyá	Noun
Brush Teeth	刷牙	shuā yá	Noun
Brutal	残忍	cánrěn	Adjective
Bubble	泡沫	pàomò	Noun
Bubble Gum	泡泡糖	pào pào táng	Noun
Bubble Milk Tea	珍珠奶茶	zhēn zhū nǎi chá	Noun
Buck	块钱	kuài qián	Noun
Bucket	水桶	shuǐ tǒng	Noun
Buckets	桶	tǒng	Noun
Buckle	扣	kòu	Noun
Buckle	扣住	kòu zhù	Noun
Buckle	扣子	kòu zi	Noun
Buckle	系好	jì hǎo	Noun
Buckle	系着	xì zhe	Noun
Bud	花蕾	huālěi	Noun
Bud	萌芽	méngyá	Noun
Buddhist	佛教徒	fó jiào tú	Noun
Budget	预算	yù suàn	Noun
Buffet	自助餐	zì zhù cān	Noun
Bug	小虫子	xiǎo chóng zi	Noun
Bug	虫	chóng	Noun
Bug	虫子	chóng zi	Noun
Build	修建	xiūjiàn	Verb
Build	堆	duī	Verb
Build	建	jiàn	Verb
Build	建设	jiàn shè	Verb
Build	建造	jiàn zào	Verb
Build	打造	dǎ zào	Verb
Build	盖	gài	Verb
Build Roads	修路	xiū lù	Noun
Building	在修建	zài xiū jiàn	Noun
Building	在盖	zài gài	Noun
Building	堆	duī	Noun
Building	大厦	dà shà	Noun
Building	大楼	dà lóu	Noun
Building	幢	zhuàng	Noun
Building	建筑	jiàn zhù	Noun
Building	建造	jiàn zào	Noun
Building	栋	dòng	Noun
Building	楼	lóu	Noun
Building	盖	gài	Noun
Building's	大楼	dà lóu	Noun
Buildings	楼	lóu	Noun
Built	修建	xiūjiàn	Noun
Built	修建了	xiū jiàn le	Noun
Built	建了	jiàn le	Noun
Built	盖	gài	Noun
Built	盖了	gài le	Noun
Bull	公牛	gōng niú	Noun
Bullet	子弹	zǐdàn	Noun
Bulletin Board	公告栏	gōng gào lán	Noun
Bully	欺负	qīfu	Adverb
Bump	颠簸	diānbǒ	Noun
Bump Into	碰到	pèng dào	Noun
Bumped Into	遇	yù	Noun
Bun	包子	bāo zi	Noun
Bunch	一串	yī chuàn	Noun
Bunch	一堆	yī duī	Noun
Bunch	一束	yī shù	Noun
Burden	包袱	bāofu	Noun
Burden	负担	fùdān	Noun
Bureau Of Public Security	公安局	gōng’ānjú	Noun
Burger	汉堡	hàn bǎo	Noun
Burger	汉堡包	hàn bǎo bāo	Noun
Burn	烧	shāo	Noun
Burn	烧伤	shāo shāng	Noun
Burn	烧毁	shāo huǐ	Noun
Burn	烧焦	shāo jiāo	Noun
Burning	燃烧	ránshāo	Noun
Burp	打嗝	dǎ gé	Noun
Burst	爆发	bàofā	Verb
Burst	迸发	bèngfā	Verb
Burst	闯	chuǎng	Verb
Burst Into	闯入	chuǎng rù	Noun
Bury	埋葬	máizàng	Verb
Bury	埋藏	mái cáng	Verb
Bus	公交车	gōng jiāo chē	Noun
Bus	公共巴士	gōng gòng bā shì	Noun
Bus	公共汽车	gōnggòngqìchē	Noun
Bus	公车	gōng chē	Noun
Bus	大巴	dà bā	Noun
Bus	巴士	bā shì	Noun
Bus Station	公交车站	gōng jiāo chē zhàn	Noun
Bus Stop	公交站	gōng jiāo zhàn	Noun
Buses	公交车	gōng jiāo chē	Noun
Bush	丛	cóng	Noun
Bush	布什	bù shén	Noun
Bush	树丛	shù cóng	Noun
Bush	灌木	guàn mù	Noun
Bush	灌木丛	guàn mù cóng	Noun
Busier	更忙	gèng máng	Noun
Busiest	最忙	zuì máng	Noun
Busiest	最忙的	zuì máng de	Noun
Business	业务	yè wù	Noun
Business	买卖	mǎi mài	Noun
Business	产业	chǎnyè	Noun
Business	企业	qǐ yè	Noun
Business	作業	zuò yè	Noun
Business	名堂	míng táng	Noun
Business	商	shāng	Noun
Business	商业	shāng yè	Noun
Business	商务	shāngwù	Noun
Business	商学	shāng xué	Noun
Business	商家	shāng jiā	Noun
Business	商科	shāng kē	Noun
Business	点事	diǎn shì	Noun
Business	生意	shēng yì	Noun
Business	行业	xíng yè	Noun
Business Card	名片	míng piàn	Noun
Business Hours	营业时间	yíng yè shí jiān	Noun
Business Opportunity	商机	shāng jī	Noun
Business Trip	出差	chū chà	Noun
Busted	破坏	pò huài	Verb
Bustling	繁华	fán huá	Adjective
Busy	占线	zhànxiàn	Adjective
Busy	很忙	hěn máng	Adjective
Busy	很忙碌	hěn máng lù	Adjective
Busy	很热闹	hěn rè nào	Adjective
Busy	很热闹的	hěn rè nào de	Adjective
Busy	忙	máng	Adjective
Busy	忙个不停	máng gè bù tíng	Adjective
Busy	忙着	máng zhe	Adjective
Busy	忙碌	máng lù	Adjective
Busy	忙碌的	máng lù de	Adjective
Busy	有事儿	yǒu shì ér	Adjective
Busy	热闹	rè nào	Adjective
Busy	繁忙	fán máng	Adjective
But	但	dàn	Conjunction
But	但是	dàn shì	Conjunction
But	却	què	Conjunction
But	可	kě	Conjunction
But	可是	kěshì	Conjunction
But	然而	rán ér	Conjunction
But	而是	ér shì	Conjunction
But	虽然但是	suī rán dàn shì	Conjunction
But Also	而且	ér qiě	Noun
Butt	屁股	pìgu	Noun
Butter	黄油	huáng yóu	Noun
Butterflies	蝴蝶	hú dié	Noun
Butterfly	蝴蝶	hú dié	Noun
Button	扣	kòu	Noun
Button	按钮	àn niǔ	Noun
Button	纽扣	niǔ kòu	Noun
Button	纽扣儿	niǔkòur	Noun
Buy	买	mǎi	Verb
Buy	买到	mǎi dào	Verb
Buy	买给	mǎi gěi	Verb
Buy	购买	gòu mǎi	Verb
Buy One Get One Free	买一送一	mǎi yī sòng yī	Noun
Buy Tickets	购票	gòu piào	Noun
Buying Tickets	购票	gòu piào	Noun
Buyout	收购	shōu gòu	Noun
By	不迟于	bù chí yú	Preposition
By	之前	zhī qián	Preposition
By	乘	chéng	Preposition
By	凭	píng	Preposition
By	坐	zuò	Preposition
By	用	yòng	Preposition
By	由	yóu	Preposition
By	被	bèi	Preposition
By	边	biān	Preposition
By	通过	tōng guò	Preposition
By (time）	截至	jiézhì	Preposition
By A Definite Date	为期	wéiqī	Noun
By Accident	不小心	bù xiǎo xīn	Noun
By Far	绝对	jué duì	Noun
By Hand	用手	yòng shǒu	Noun
By Herself	一个人	yī gè rén	Noun
By Himself	一个人	yī gè rén	Noun
By Luck	侥幸	jiǎoxìng	Noun
By Mistake	误	wù	Noun
By Myself	自己	zì jǐ	Noun
By Now	到目前为止	dào mù qián wéi zhǐ	Noun
By The End Of	到今天结束前	dào jīn tiān jié shù qián	Noun
By The End Of	到周末结束前	dào zhōu mò jié shù qián	Noun
By The End Of	到年底结束前	dào nián dǐ jié shù qián	Noun
By The End Of	到月底结束前	dào yuè dǐ jié shù qián	Noun
By The End Of	到本周结束前	dào běn zhōu jié shù qián	Noun
By The End Of	到第二年年底结束前	dào dì èr nián nián dǐ jié shù qián	Noun
By The Government Official	官方	guānfāng	Preposition
By The Time	当...时	dāng ... shí	Noun
By The Way	对了	duì le	Noun
By The Way	顺便提一下	shùn biàn tí yī xià	Noun
By The Way	顺便说一下	shùn biàn shuō yī xià	Noun
By Then	到那时	dào nà shí	Noun
By Yourself	自己	zì jǐ	Noun
By Yourself	自己一个人	zì jǐ yí gè rén	Noun
Bye	再会	zài huì	Noun
Bye	再见	zài jiàn	Noun
Bye	拜	bài	Noun
Bye	拜拜	bài bài	Noun
Bye-Bye	拜拜	bài bài	Noun
Cab	出租车	chū zū chē	Noun
Cabbage	卷心菜	juǎn xīn cài	Noun
Cabbage	白菜	bái cài	Noun
Cabin	小木屋	xiǎo mù wū	Noun
Cabin	小棚屋	xiǎo péng wū	Noun
Cabin	舱	cāng	Noun
Cabinet	柜子	guì zi	Noun
Cabinet	橱柜	chú guì	Noun
Cadaver	尸体	shītǐ	Noun
Cafe	咖啡厅	kā fēi tīng	Noun
Cafe	咖啡馆	kā fēi guǎn	Noun
Cafeteria	食堂	shí táng	Noun
Cage	笼子	lóng zi	Noun
Cake	蛋糕	dàn gāo	Noun
Calcium	钙	gài	Noun
Calculate	计算	jì suàn	Noun
Calculating	计算	jì suàn	Verb
Calculation	计算	jì suàn	Noun
Calculator	计算器	jì suàn qì	Noun
Calendar	日历	rì lì	Noun
Calf	幼崽	yòu zǎi	Noun
Call	叫	jiào	Verb
Call	号召	hàozhào	Verb
Call	呼叫	hū jiào	Verb
Call	呼唤	hūhuàn	Verb
Call	命令	mìnglìng	Verb
Call	命名	mìngmíng	Verb
Call	打电话	dǎ diàn huà	Verb
Call	打电话给	dǎ diàn huà gěi	Verb
Call	电话	diàn huà	Verb
Call	称	chēng	Verb
Call	称呼	chēng hū	Verb
Call	请打电话给	qǐng dǎ diàn huà gěi	Verb
Call	通话	tōng huà	Verb
Call 110	打110	dǎ110	Noun
Call For Bids	招标	zhāobiāo	Verb
Call For Help	求救	qiú jiù	Noun
Call In Sick	请病假	qǐng bìng jià	Noun
Call On	呼吁	hūyù	Verb
Call The Police	打110	dǎ110	Noun
Call The Police	报警	bào jǐng	Noun
Call The Roll	点名	diǎn míng	Noun
Call To Wish A Happy New Year	拜年	bài nián	Noun
Call Up	叫上	jiào shàng	Noun
Called	叫	jiào	Verb
Called	叫作	jiào zuò	Verb
Called	名叫	míng jiào	Verb
Called	山叫	shān jiào	Verb
Called	打了电话	dǎ le diàn huà	Verb
Called	打了电话给	dǎ le diàn huà gěi	Verb
Called	打电话	dǎ diàn huà	Verb
Called	打电话了	dǎ diàn huà le	Verb
Called	打电话来	dǎ diàn huà lái	Verb
Called	歌叫	gē jiào	Verb
Called	称呼了	chēng hū le	Verb
Called The Police	报警	bào jǐng	Noun
Calligraphy	书法	shū fǎ	Noun
Calling	打电话	dǎ diàn huà	Verb
Calling Attendance	点名	diǎn míng	Noun
Calling To	打电话来	dǎ diàn huà lái	Noun
Calls	打电话	dǎ diàn huà	Noun
Calls	称呼	chēng hū	Noun
Calm	冷静	lěng jìng	Noun
Calm	安宁	ānníng	Noun
Calm	平稳	píng wěn	Noun
Calm	平静	píng jìng	Noun
Calm	沉着	chén zhe	Noun
Calm	镇定	zhèndìng	Noun
Calm	镇静	zhènjìng	Noun
Calm And Unhurried	从容	cóngróng	Noun
Calm Down	冷静	lěng jìng	Verb
Calm Down	冷静下来	lěng jìng xià lái	Verb
Calorie	卡路里	kǎ lù lǐ	Noun
Calves	小牛	xiǎo niú	Noun
Came	来	lái	Noun
Came	来了	lái le	Noun
Came	来的	lái de	Noun
Came First	第一	dì yī	Noun
Camel	骆驼	luò tuó	Noun
Camera	摄像头	shè xiàng tóu	Noun
Camera	摄像机	shè xiàng jī	Noun
Camera	照相机	zhào xiāng jī	Noun
Camera	相机	xiāng jī	Noun
Camera Lens	镜头	jìngtóu	Noun
Camp	营地	yíng de	Noun
Camp	野营	yě yíng	Noun
Camp	露营	lù yíng	Noun
Campaign	战役	zhànyì	Noun
Campaign	竞选	jìng xuǎn	Noun
Campaign For	竞选	jìngxuǎn	Preposition
Campfire	篝火	gōu huǒ	Noun
Campfire	营火	yíng huǒ	Noun
Camping	野营	yě yíng	Verb
Campus	大学校园	dà xué xiào yuán	Noun
Campus	校园	xiào yuán	Noun
Campus Card	校园卡	xiào yuán kǎ	Noun
Can	会	huì	Verb
Can	可以	kě yǐ	Verb
Can	给	gěi	Verb
Can	罐头	guàn tóu	Verb
Can	能	néng	Verb
Can	能否	néng fǒu	Verb
Can	能够	néng gòu	Verb
Can Always Call	可以随时打电话	kě yǐ suí shí dǎ diàn huà	Noun
Can Be Seen	可见	kě jiàn	Noun
Can Not Help But	不禁	bùjīn	Conjunction
Can Only	只好	zhǐ hǎo	Adverb
Can Tell	可以看出	kě yǐ kàn chū	Noun
Can Tell	可以看出来	kě yǐ kàn chū lái	Noun
Can't	不	bù	Noun
Can't	不会	bú huì	Noun
Can't	不可以	bù kě yǐ	Noun
Can't	不是	bú shì	Noun
Can't	不能	bù néng	Noun
Can't	不行	bù xíng	Noun
Can't	就不能	jiù bù néng	Noun
Can't	无法	wú fǎ	Noun
Can't	没法	méi fǎ	Noun
Can't Complain	无可抱怨	wú kě bào yuàn	Noun
Can't Find	找不到	zhǎo bú dào	Noun
Can't Get Enough Of	欲罢不能	yù bà bù néng	Noun
Can't Get Over	无法克服	wú fǎ kè fú	Noun
Can't Hear	听不到	tīng bú dào	Noun
Can't Help	忍不住	rěn bù zhù	Noun
Can't Help But	不禁	bù jìn	Noun
Can't Keep Up With	跟不上	gēn bù shàng	Noun
Can't Keep Walking	走不动	zǒu bù dòng	Noun
Can't See	看不到	kàn bú dào	Noun
Can't Sleep	睡不着	shuì bù zhe	Noun
Can't Stand	受不了	shòu bù le	Noun
Can't Take	不能忍受	bù néng rěn shòu	Noun
Can't Wait	等不及	děng bù jí	Noun
Can't Wait	等不及了	děng bù jí le	Noun
Can't Wait For	迫不及待地等待	pò bù jí dài dì děng dài	Noun
Can't Wait To	迫不及待想	pò bù jí dài xiǎng	Noun
Can't Walk	走不动	zǒu bù dòng	Noun
Canada	加拿大	jiā ná dà	Noun
Canadian	加拿大	jiā ná dà	Noun
Canadian	加拿大人	jiā ná dà rén	Noun
Cancel	休掉	xiū diào	Verb
Cancel	作废	zuòfèi	Verb
Cancel	取消	qǔ xiāo	Verb
Cancel	废除	fèichú	Verb
Cancel	挂失	guà shī	Verb
Cancel	注销	zhù xiāo	Verb
Cancel	终止	zhōngzhǐ	Verb
Canceled	取消了	qǔ xiāo le	Verb
Canceling	取消	qǔ xiāo	Verb
Cancelled	取消	qǔ xiāo	Verb
Cancels	取消	qǔ xiāo	Noun
Cancer	癌症	áizhèng	Noun
Candidate	候选	hòuxuǎn	Verb
Candidate	候选人	hòu xuǎn rén	Verb
Candle	蜡烛	là zhú	Noun
Candy	硬糖	yìng táng	Noun
Candy	糖	táng	Noun
Candy	糖果	táng guǒ	Noun
Candy's	甜食	tián shí	Noun
Cane	拐杖	guǎi zhàng	Noun
Cannot	不	bù	Noun
Cannot	不会	bú huì	Noun
Cannot	不可	bù kě	Noun
Cannot	不得	bù dé	Noun
Cannot	不成	bù chéng	Noun
Cannot	不能	bù néng	Noun
Cannot	不足以	bù zú yǐ	Noun
Cannot	买不到	mǎi bú dào	Noun
Cannot	做不了	zuò bù liǎo	Noun
Cannot	无可	wú kě	Noun
Cannot	无法	wú fǎ	Noun
Cannot	未能	wèi néng	Noun
Cannot	没办	méi bàn	Noun
Cannot Be Designated As	无所谓	wúsuǒwèi	Conjunction
Cannot Bear Sth	受不了	shòubuliǎo	Noun
Cannot Bear To Part With	舍不得	shě bù dé	Noun
Cannot Guess	猜不到	cāi bù dào	Noun
Cannot Help	不由得	bùyóude	Noun
Cannot Stop	不能停	bù néng tíng	Noun
Cannot Stop	不能停止	bù néng tíng zhǐ	Noun
Cannot Walk	走不动	zǒu bù dòng	Noun
Canyon	峡谷	xiágǔ	Noun
Canyon	深谷	shēn gǔ	Noun
Can’t Bear	不堪	bùkān	Noun
Cap	鸭舌帽	yā shé mào	Noun
Capable	有	yǒu	Adjective
Capable	有能力	yǒu néng lì	Adjective
Capable	能干	néng gàn	Adjective
Capable Of	有能力做	yǒu néng lì zuò	Noun
Capacity	容量	róng liàng	Noun
Capacity	对能	duì néng	Noun
Capacity	性能	xìng néng	Noun
Capacity	潜力	qián lì	Noun
Capacity	能力	néng lì	Noun
Capital	本钱	běnqián	Noun
Capital	资产	zīchǎn	Noun
Capital	资本	zī běn	Noun
Capital	资金	zījīn	Noun
Capital	首都	shǒu dōu	Noun
Captain	上尉	shàng wèi	Noun
Captain	机长	jī zhǎng	Noun
Captain	船长	chuán zhǎng	Noun
Captain	队长	duì zhǎng	Noun
Captain	领队	lǐng duì	Noun
Captive	俘虏	fúlǔ	Adjective
Capture	展现	zhǎn xiàn	Noun
Capture	捕捉	bǔzhuō	Noun
Car	小车	xiǎo chē	Noun
Car	小轿车	xiǎo jiào chē	Noun
Car	汽车	qì chē	Noun
Car	车	chē	Noun
Car	车子	chē zi	Noun
Car	车辆	chē liàng	Noun
Car	轿车	jiào chē	Noun
Car	辆	liàng	Noun
Car Accident	车祸	chē huò	Noun
Car Loan	车贷	chē dài	Noun
Car Sickness	晕车	yūn chē	Noun
Car Wash	洗车场	xǐ chē chǎng	Noun
Carbohydrate	碳水	tàn shuǐ	Noun
Carbon Dioxide	二氧化碳	èryǎnghuàtàn	Noun
Card	卡	kǎ	Noun
Card	卡片	kǎ piàn	Noun
Card	卡牌	kǎ pái	Noun
Card	名片	míng piàn	Noun
Card	帖	tiē	Noun
Card	纸牌	zhǐ pái	Noun
Card	贺卡	hè kǎ	Noun
Cardboard	纸板	zhǐ bǎn	Noun
Cardboard Box	纸箱	zhǐ xiāng	Noun
Cardio	有氧运动	yǒu yǎng yùn dòng	Noun
Cards	卡	kǎ	Noun
