English	French	Part of Speech
Divine	divin	Noun
Diving	la plongée	Noun
Diving	plongée	Noun
Divorce	divorcent	Noun
Divorce	divorcer	Noun
Divorce	la séparation	Noun
Divorced	a divorcé	Adjective
Divorced	divorcé	Adjective
Divorced	divorcée	Adjective
Divorced	divorcées	Adjective
Divorced	divorcés	Adjective
Divorced	ont divorcé	Adjective
Divorcing	divorce	Verb
Divorcing	divorcer	Verb
Do	accomplit	Noun
Do	agisses	Noun
Do	effectue	Noun
Do	effectuez	Noun
Do	effectué	Noun
Do	effectuées	Noun
Do	est-ce	Noun
Do	est-ce qu'	Noun
Do	fabriques	Noun
Do	faire	Noun
Do	fais	Noun
Do	faisons	Noun
Do	fait	Noun
Do	faites	Noun
Do	fassiez	Noun
Do	font	Noun
Do	iraient	Noun
Do	j'effectue	Noun
Do	n'agissons	Noun
Do	n'ai	Noun
Do	n’agisses	Noun
Do	pratiquais	Noun
Do	pratiquera	Noun
Do	pratiquée	Noun
Do	qu'aimez	Noun
Do	refasse	Noun
Do	supprimer	Noun
Do	terminés	Noun
Do A Good Job	bien gérer	Noun
Do A Good Job	bien s'occuper de	Noun
Do A Good Job	réussir	Noun
Do Diy	bricoler	Noun
Do It	fais-le	Noun
Do It	faites-le	Noun
Do Like That	on fait comme ça	Noun
Do Not	n'	Noun
Do Not	n'ai pas	Noun
Do Not	n'as pas	Noun
Do Not	n'y	Noun
Do Not Count On It	n'y compte pas	Noun
Do Not Get Up	ne te lève pas	Noun
Do Not Give Up	n'allez pas	Noun
Do Not Go	n'allez pas	Noun
Do Not Have	n'ai pas	Noun
Do Not Have	n'as pas	Noun
Do Not Like	n'aime pas	Noun
Do Not Rely On It	n'y compte pas	Noun
Do Not Rise	ne te lève pas	Noun
Do Not Sit	ne t'assieds pas	Noun
Do Not Sit Down	ne t'assieds pas	Noun
Do Not Sit On	ne t'assieds pas	Noun
Do Not Stand Up	ne te lève pas	Noun
Do Not Walk	n'allez pas	Noun
Do They Have	ont-ils	Noun
Do They Speak	parlent-ils	Noun
Do They Talk	parlent-ils	Noun
Do They Work	travaillent-elles	Noun
Do Things	faire	Noun
Do Well	bien réussi	Noun
Do Without	renoncer à	Noun
Do You	est-ce	Noun
Do You Come	venez-vous	Noun
Do You Do	faites-vous	Noun
Do You Happen To	auriez-vous	Noun
Do You Have	as-tu	Noun
Do You Have	avez-vous	Noun
Do You Have Any Idea	savez-vous	Noun
Do You Labor	travaillez-vous	Noun
Do You Like	aimes-tu	Noun
Do You Live	habites-tu	Noun
Do You Live	habitez-vous	Noun
Do You Love	aimes-tu	Noun
Do You Mind	ça te dérange	Noun
Do You Mind If	ça te dérange si	Noun
Do You Speak	parles-tu	Noun
Do You Speak/talk	parlez-vous	Noun
Do You Study	étudiez-vous	Noun
Do You Take	prends-tu	Noun
Do You Talk	parles-tu	Noun
Do You Want	voulez-vous	Noun
Do You Want	ça te dit	Noun
Do You Want	ça vous dit	Noun
Do You Work	travailles-tu	Noun
Do You Work	travaillez-vous	Noun
Do Your Hair	coiffez	Noun
Do-It-Yourself Projects	bricolage	Noun
Doable	faisable	Noun
Doctor	docteur	Noun
Doctor	le médecin	Noun
Doctor	médecin	Noun
Doctor's Office	cabinet médical	Noun
Document	décrivent	Noun
Document	décrivez	Noun
Documentary	documentaire	Noun
Documentary's	reportage	Noun
Dodge	système	Noun
Does	-t-elle	Noun
Does	-t-il	Noun
Does	est-ce	Noun
Does	est-ce qu'	Noun
Does	faire	Noun
Does	fais	Noun
Does	faisons	Noun
Does	fait	Noun
Does	fait-il	Noun
Does	faites	Noun
Does	fasse	Noun
Does	fera	Noun
Does	ferai	Noun
Does	font	Noun
Does	prépare	Noun
Does	refaire	Noun
Does	suffire	Noun
Does	supprimer	Noun
Does Hair	coiffe	Noun
Does He	a-t-il	Noun
Does He Do	fait-il	Noun
Does He Have	a-t-il	Noun
Does It	est-ce	Noun
Does Not	n'	Noun
Does Not	n'y	Noun
Does Not	non	Noun
Does Not Like	n'aime pas	Noun
Does She	a-t-elle	Noun
Does She Have	a-t-elle	Noun
Doesn't	déranger	Noun
Doesn't	n'	Noun
Doesn't Add Up	ça ne colle pas	Noun
Doesn't Care	s'en fiche	Noun
Dog	chien	Noun
Doghouse	niche	Noun
Dogs	chiens	Noun
Dogs'	chiens	Noun
Doing	faire	Verb
Doing	fais	Verb
Doing	faisant	Verb
Doing	faisons	Verb
Doing	fait	Verb
Doing	faites	Verb
Doing	fasse	Verb
Doing	font	Verb
Doll	poupée	Noun
Dollar	dollar	Noun
Dolphin	dauphin	Noun
Domestic	domestique	Adjective
Dominoes	domino	Noun
Don't	aller	Noun
Don't	faire	Noun
Don't	fais	Noun
Don't	faisons	Noun
Don't	fait	Noun
Don't	faites	Noun
Don't	font	Noun
Don't	n'	Noun
Don't	n' ... pas	Noun
Don't	n'as	Noun
Don't	n'avez	Noun
Don't	n'avons	Noun
Don't	n’ai	Noun
Don't	n’as	Noun
Don't	pas	Noun
Don't	refaire	Noun
Don't	suffire	Noun
Don't	supprimer	Noun
Don't	épuiser	Noun
Don't Count On It	n'y compte pas	Noun
Don't Feel Like It	flemme	Noun
Don't Get Up	ne te lève pas	Noun
Don't Give Up	n'allez pas	Noun
Don't Go	n'allez pas	Noun
Don't Have	n'as pas	Noun
Don't Rely On It	n'y compte pas	Noun
Don't Sit	ne t'assieds pas	Noun
Don't Sit Down	ne t'assieds pas	Noun
Don't Sit On	ne t'assieds pas	Noun
Don't Stand Up	ne te lève pas	Noun
Don't Wake Up	ne te lève pas	Noun
Don't Walk	n'allez pas	Noun
Don't Worry	ne t'inquiète pas	Noun
Don't Worry	ne vous inquiétez pas	Noun
Don't You Dare	n'essaie même pas	Noun
Don't You Dare	n'ose pas	Noun
Don't You Dare	ne t'avise pas	Noun
Donate	donne	Noun
Donate	donnes	Noun
Donated	donnée	Verb
Donates	donne	Noun
Done	effectuée	Noun
Done	fais	Noun
Done	fait	Noun
Done	faite	Noun
Done	faites	Noun
Done	fini	Noun
Done	pratiquée	Noun
Done	terminés	Noun
Done Up	fermé	Noun
Donkey	âne	Noun
Donkey	ânesse	Noun
Door	l'entrée	Noun
Door	porte	Noun
Door	portière	Noun
Door	portières	Noun
Doorway	entrée	Noun
Dorado	doré	Noun
Dorm	dortoirs	Noun
Dorm	résidence	Noun
Dot	point	Noun
Dotted	à pois	Phrase
Double	doubler	Noun
Double	doubles	Noun
Double	redoublerai	Noun
Doubt	doute	Noun
Doubt	doutent	Noun
Doubt	douter	Noun
Doubt	doutes	Noun
Doubt	doutez	Noun
Doubt	doutons	Noun
Doubt	incertitude	Noun
Doubt	l'incertitude	Noun
Doubtful	incertain	Noun
Doubts	doute	Noun
Doubts	douter	Noun
Dough	les pâtes	Noun
Down	poil	Noun
Down With Flu	grippé	Adjective
Download	transféreraient	Noun
Download	télécharge	Noun
Download	téléchargement	Noun
Download	télécharger	Noun
Download	téléchargera	Noun
Download	téléchargerai	Noun
Download	téléchargeraient	Noun
Download	téléchargerais	Noun
Download	téléchargeras	Noun
Download	téléchargerez	Noun
Download	téléchargerons	Noun
Download	téléchargeront	Noun
Download	télécharges	Noun
Download	téléchargez	Noun
Download	téléchargiez	Noun
Downloading	transfert	Verb
Downpour	averse	Noun
Downpour	déluge	Noun
Downpour	l'averse	Noun
Downs	bas	Noun
Dozen	douzaine	Noun
Dr.	docteur	Noun
Dragon	dragon	Noun
Drama	drame	Noun
Drama	la pièce	Noun
Drama	théâtre	Noun
Dramatic	dramatique	Noun
Drank	finir	Noun
Draw	attraction	Noun
Draw	dessine	Noun
Draw	dessiner	Noun
Draw	dessines	Noun
Draw	dessinez	Noun
Draw	faisons	Noun
Draw	retirer	Noun
Draw	tirer	Noun
Draw Attention	attirer l'attention	Noun
Draw Attention	attirer l'œil	Noun
Draw Attention	capter l'attention	Noun
Draw Attention	mettre en évidence	Noun
Draw Attention	susciter l'attention	Noun
Draw Back/are Drawing Back	ouvres	Noun
Draw Up	dessines	Noun
Draw Up/are Drawing Up	dessines	Noun
Draw Your Attention To	attirer l'attention sur	Noun
Draw Your Attention To	signaler	Noun
Draw/are Drawing	dessines	Noun
Drawer	tiroir	Noun
Drawing	dessin	Noun
Drawn	accoster	Noun
Drawn	ajouter	Noun
Drawn	approcher	Noun
Drawn	arriver	Noun
Drawn	arrivé ex aequo	Noun
Drawn	aspirer	Noun
Drawn	aspiré	Noun
Drawn	attirer	Noun
Drawn	attraction	Noun
Drawn	avancer	Noun
Drawn	baisser	Noun
Drawn	bouffée	Noun
Drawn	dessiner	Noun
Drawn	dessiné	Noun
Drawn	distraire quelqu'un de	Noun
Drawn	dresser	Noun
Drawn	dégainer	Noun
Drawn	dégainé	Noun
Drawn	dépeindre	Noun
Drawn	dépeint	Noun
Drawn	enfiler	Noun
Drawn	enlever	Noun
Drawn	enlevé	Noun
Drawn	exploiter	Noun
Drawn	extraire	Noun
Drawn	extrait	Noun
Drawn	faire	Noun
Drawn	faire traîner	Noun
Drawn	fait	Noun
Drawn	fermé	Noun
Drawn	hisser	Noun
Drawn	infuser	Noun
Drawn	infusé	Noun
Drawn	main	Noun
Drawn	nul	Noun
Drawn	nulle	Noun
Drawn	obtenir	Noun
Drawn	ouvrir	Noun
Drawn	partir	Noun
Drawn	passer	Noun
Drawn	prendre de l'avance	Noun
Drawn	prendre quelqu'un à part	Noun
Drawn	raccourcir	Noun
Drawn	rallonger	Noun
Drawn	reculer	Noun
Drawn	rentrer	Noun
Drawn	retirer	Noun
Drawn	retiré	Noun
Drawn	rédiger	Noun
Drawn	s'arrêter	Noun
Drawn	s'éloigner	Noun
Drawn	se séparer	Noun
Drawn	sorti	Noun
Drawn	sortir	Noun
Drawn	soutirer	Noun
Drawn	susciter	Noun
Drawn	suscité	Noun
Drawn	tirage	Noun
Drawn	tirer	Noun
Drawn	tiré	Noun
Drawn	tirée	Noun
Drawn	toucher	Noun
Drawn	touché	Noun
Drawn	tracer	Noun
Drawn	tracé	Noun
Drawn	vider	Noun
Drawn	vidé	Noun
Drawn	écarter	Noun
Drawn	éloigner quelqu'un de	Noun
Drawn	établir	Noun
Drawn	étirer	Noun
Drawn	étiré	Noun
Drawn	étriper	Noun
Drawn	étripé	Noun
Drawn	évacuer	Noun
Drawn	ôter	Noun
Draws	dessine	Noun
Draws	reculer	Noun
Draws	retirer	Noun
Dreadful	affreux	Adjective
Dream	de rêve	Noun
Dream	le rêve	Noun
Dream	rêve	Noun
Dream	rêver	Noun
Dream Job	emploi de rêve	Noun
Dream Job	métier de rêve	Noun
Dream Job	poste de rêve	Noun
Dream Job	travail de rêve	Noun
Dreamed	rêver	Verb
Dreamer	rêveur	Noun
Dreaming	rêver	Verb
Dreamlike	rêve	Noun
Dreams	rêve	Noun
Dreamy	rêveur	Adjective
Dress	décorer	Noun
Dress	habiller	Noun
Dress	parent	Noun
Dress	robe	Noun
Dress Code	code d'habillement	Noun
Dress Code	tenue exigée	Noun
Dressed	assaisonné	Verb
Dressed	décorer	Verb
Dressed	habiller	Verb
Dresser	commode	Noun
Dresses	décorer	Noun
Dresses	habille	Noun
Dresses	robes	Noun
Dresses	s'habille	Noun
Dressing	pansement	Noun
Dressing	s'habiller	Noun
Dressing	sauce	Noun
Drew	dessiné	Noun
Drew	fermé	Noun
Dried Legume	le légume sec	Noun
Dries	se sèche	Noun
Dries	sèche	Noun
Drill	perceuse	Noun
Drink	boire	Noun
Drink	bois	Noun
Drink	boisson	Noun
Drink	boissons	Noun
Drink	boit	Noun
Drink	boive	Noun
Drink	boivent	Noun
Drink	boives	Noun
Drink	bues	Noun
Drink	buvez	Noun
Drink	buviez	Noun
Drink	buvons	Noun
Drink	verre	Noun
Drink	à boire	Noun
Drinking	boire	Verb
Drinking	buvant	Verb
Drinks	boit	Noun
Drive	attaquer	Noun
Drive	conduirait	Noun
Drive	conduire	Noun
Drive	conduis	Noun
Drive	conduise	Noun
Drive	conduisent	Noun
Drive	conduises	Noun
Drive	conduisez	Noun
Drive	conduisons	Noun
Drive	conduit	Noun
Drive	conduits	Noun
Drive	démarrer	Noun
Drive	flotter	Noun
Drive	menée	Noun
Drive	menés	Noun
Drive	pousseraient	Noun
Drive	roule	Noun
Drive	rouler	Noun
Drive	roules	Noun
Drive	roulez	Noun
Drive	roulions	Noun
Drive	roulons	Noun
Drive	virées	Noun
Drive	volonté	Noun
Drive	énergie	Noun
Drive Off	démarrer	Noun
Drive/are Driving	conduisons	Noun
Driven	ambitieux	Adjective
Driven	motivé	Adjective
Driven In	entrés	Noun
Driver	chauffeur	Noun
Driver	conducteur	Noun
Driver	conductrice	Noun
Driver's	permis	Noun
Drives	attaquer	Noun
Drives	conduit	Noun
Driveway	allée	Noun
Driving	conduire	Verb
Driving	conduisant	Verb
Driving	roulant	Verb
Drop	goutte	Noun
Drop	larme	Noun
Drop Off	dépose	Noun
Drop Off	déposer	Noun
Dropped	goutte	Verb
Dropped	livraison	Verb
Dropped	retirer	Verb
Dropped	supprimer	Verb
Drops	abandonner	Noun
Drops	baisse	Noun
Drops	baisser	Noun
Drops	diminuer	Noun
Drops	déposer	Noun
Drops	goutte	Noun
Drops	livraison	Noun
Drops	lâche	Noun
Drops	met	Noun
Drops	mettre	Noun
Drops	passer	Noun
Drops	perdre	Noun
Drops	retirer	Noun
Drops	supprimer	Noun
Drops	tomber	Noun
Drought	la sécheresse	Noun
Drought	sécheresse	Noun
Drove	a roulé	Noun
Drove	conduisais	Noun
Drove	conduisait	Noun
Drove	conduisions	Noun
Drove	conduit	Noun
Drove In	entrés	Noun
Drug	administrer des somnifères à	Noun
Drug	doper	Noun
Drug	drogue	Noun
Drug	endormir	Noun
Drug	le médicament	Noun
Drug	lié à la drogue	Noun
Drug	mettre un somnifère dans	Noun
Drug	médicament	Noun
Drug	médicaments	Noun
Drug	pharmaceutique	Noun
Drugs	drogue	Noun
Drugstore	pharmacie	Noun
Drum	baril	Noun
Drum	batterie	Noun
Drum	bidon	Noun
Drum	caisse	Noun
Drum	expulser	Noun
Drum	racoler	Noun
Drum	réussir à faire comprendre	Noun
Drum	réussir à faire passer	Noun
Drum	tambour	Noun
Drum	tambourine	Noun
Drum	tambouriner	Noun
Drum	trouver	Noun
Drums	batterie	Noun
Drunk	soûl	Noun
Drunk	soûle	Noun
Drunk	soûles	Noun
Drunk	soûls	Noun
Dry	essuyer	Noun
Dry	me sécher	Noun
Dry	se sécher	Noun
Dry	sec	Noun
Dry	secs	Noun
Dry	sèche	Noun
Dry	sèchent	Noun
Dry	sèches	Noun
Dry	sécher	Noun
Dry With	sécher avec	Noun
Dryer	sèche-linge	Noun
Drying	sécher	Verb
Duck	canard	Noun
Duct	canal	Noun
Due	échéant	Adjective
Due Date	terme	Noun
Due To	grâce à	Phrase
Due To	à cause de	Phrase
Dull	obtus	Adjective
Dull	terne	Adjective
Dumbbell	l'haltère	Noun
Durable	durable	Adjective
Duration	la durée	Noun
During	pendant	Preposition
During	sous	Preposition
During The Exercise	de l'exercice	Noun
Dusk	crépuscule	Noun
Dust	la poussière	Noun
Dust	poussière	Noun
Dusty	poussiéreux	Noun
Dutch	hollandais	Noun
Duty	corvée	Noun
Duty	devoir	Noun
Duty	devoirs	Noun
Duty	fonction	Noun
Duty	l'exercice	Noun
Duty	l'obligation	Noun
Duty	l'office	Noun
Duty	obligation	Noun
Duty	responsabilité	Noun
Duty	service	Noun
Duty	taxe	Noun
Dvd	DVD	Noun
Dwelling	demeure	Verb
Dwelling Place	l'habitat	Noun
Dye	colorant	Noun
Dye	colorants	Noun
Dye	teindre	Noun
Dye	teint	Noun
Dye	teinture	Noun
Dyeing	teindre	Noun
Dying	mourir	Verb
Dying To	mourir d'envie de	Noun
Dynamic	dynamique	Adjective
E-Mail	l'e-mail	Noun
E-Mails	e-mails	Noun
Each	chacun	Pronoun
Each	chaque	Adjective
Each Other	l'un de l'autre	Noun
Each Other	nous	Noun
Each Other	s'	Noun
Each Other	vous	Noun
Eager	hâte	Noun
Eager	impatient	Noun
Eagle	aigle	Noun
Eagle's	aigle	Noun
Ear	anse	Noun
Ear	de l'oreille	Noun
Ear	l'oreille	Noun
Ear	oreille	Noun
Earache	mal à l'oreille	Noun
Earlier	bientôt	Noun
Earlier	tout à l'heure	Noun
Early	anticipée	Phrase
Early	d'avance	Phrase
Early	début	Phrase
Early	hâtive	Phrase
Early	l'avance	Phrase
Early	l’avance	Phrase
Early	matinales	Phrase
Early	tôt	Phrase
Early Days	tout début	Noun
Early Period	jeunesse	Noun
Early Stages	début	Noun
Early Years	jeunesse	Noun
Earn	gagner	Noun
Earn	toucher	Noun
Earned	gagné	Verb
Earnest	sérieux	Noun
Earphone	l'écouteur	Noun
Earring	boucle d'oreille	Verb
Earth	l'environnement	Noun
Earth	sol	Noun
Earth	terre	Noun
Earth	Terre	Noun
Earth	terreau	Noun
Earth	world	Noun
Earthquake	le séisme	Noun
Easily	facilement	Adverb
Easily Influenced	influençable	Adjective
East	d'est	Noun
East	est	Noun
East	l'est	Noun
East	oriental	Noun
East	vers l'est	Noun
East	à l'est	Noun
East Side	de l'est	Noun
Easter	Pâques	Noun
Easter Egg	perle cachée	Noun
Easter Egg	œuf de Pâques	Noun
Eastern	de l'est	Noun
Eastern	oriental	Noun
Easy	aisé	Adjective
Easy	facile	Adjective
Easy To Understand	compréhensible	Noun
Easy-Going	facile à vivre	Verb
Easygoing	facile à vivre	Verb
Eat	mange	Noun
Eat	mangent	Noun
Eat	mangeons	Noun
Eat	manger	Noun
Eat	manges	Noun
Eat	mangez	Noun
Eat	prends	Noun
Eaten	mangé	Noun
Eating	mange	Verb
Eating	mangeant	Verb
Eating	mangeons	Verb
Eating	manger	Verb
Eating	manges	Verb
Eats	mange	Noun
Eau De Toilette	l'eau de toilette	Noun
Ecological	écologique	Adjective
Ecological	écologiste	Adjective
Ecological System	l'écosystème	Noun
Ecology	l'écologie	Noun
Ecology	écologie	Noun
Economic	économique	Noun
Economic Market	le marché	Noun
Economical	économique	Noun
Economics	économie	Noun
Economics	économique	Noun
Economy	d'économie	Noun
Economy	d'économies	Noun
Economy	l'économie	Noun
Economy	l’économie	Noun
Economy	économie	Noun
Ecosystem	l'écosystème	Noun
Eczema	l'eczéma	Noun
Edge	bord	Noun
Edge Of My Seat	au bord de mon siège	Noun
Edge Of My Seat	impatient	Noun
Edge Of My Seat	suspendu au bord de mon siège	Noun
Edged Weapon	l'arme blanche	Noun
Edges	chants	Noun
Edifice	édifice	Noun
Edit	couper	Noun
Edit	coupons	Noun
Edit	montage	Noun
Edit	réaliser le montage de	Noun
Edit	réalisons le montage de	Noun
Edit	réviser	Noun
Edit	révisons	Noun
Edit	édite	Noun
Edit	éditer	Noun
Edit	éditons	Noun
Edition	l'édition	Noun
Editor	-euse	Noun
Editor	-trice	Noun
Editor	correcteur	Noun
Editor	monteur	Noun
Editor	rédacteur	Noun
Editor	éditeur	Noun
Editorial Staff	la rédaction	Noun
Educated	cultivé	Adjective
Education	culture	Noun
Education	formation	Noun
Education	éducatif	Noun
Education	éducation	Noun
Education System	école	Noun
Educational	instructif	Adjective
Educator	l'enseignant	Noun
Effect	apporte	Noun
Effect	apportent	Noun
Effect	apporter	Noun
Effect	effectue	Noun
Effect	effectuent	Noun
Effect	effectuer	Noun
Effect	effectuons	Noun
Effect	effet	Noun
Effect	effets	Noun
Effect	efficacité	Noun
Effect	l'impact	Noun
Effect	l'incidence	Noun
Effect	parvenir à	Noun
Effect	parvenons à	Noun
Effect	parviennent à	Noun
Effect	parvient à	Noun
Effect	répercussions	Noun
Effective	efficace	Noun
Effective	efficaces	Noun
Effectively	effectivement	Adverb
Effectiveness	l'efficacité	Noun
Effervescent	gazeux	Noun
Efficiency	l'efficacité	Noun
Efficiency	la productivité	Noun
Efficient	efficace	Noun
Efficiently	effectivement	Adverb
Effort	acharnement	Noun
Effort	d'effort	Noun
Effort	d'efforts	Noun
Effort	d'énergie	Noun
Effort	dévouement	Noun
Effort	d’efforts	Noun
Effort	d’engagement	Noun
Effort	efforts	Noun
Effort	l'application	Noun
Effort	l'effort	Noun
Effortless	aisé	Adjective
Effortlessly	facilement	Adverb
Egg	l'œuf	Noun
Egg	œuf	Noun
Eggplant	aubergine	Noun
Eggplant	l'aubergine	Noun
Eggs	les œufs	Noun
Eggs	œufs	Noun
Egypt	Égypte	Noun
Eight	huit	Numeral
Eighteen	dix-huit	Numeral
Eighteenth	dix-huitième	Adjective
Eighth	huit	Adjective
Eighth	huitième	Adjective
Eighties	années quatre-vingt	Noun
Eighty	quatre-vingt	Numeral
Eighty	quatre-vingts	Numeral
Either	aucun	Noun
Either	chaque	Noun
Either	l'autre	Noun
Either	l'un	Noun
Either	l'une	Noun
Either	l’un	Noun
Either	soit	Noun
Either Of	l'un de	Noun
Either Of	l'un ou l'autre des	Noun
Either Of	l'une de	Noun
Either Of	l'une ou l'autre des	Noun
Either Of	n'importe lequel des	Noun
Elaboration	l'explication	Noun
Elasticated	à l'élastique	Verb
Elbow	coude	Noun
Elderly	vieux	Adjective
Elderly	âgé	Adjective
Elderly Person	personne âgée	Noun
Elect	choisir	Noun
Elect	futur	Noun
Elect	votons	Noun
Elect	élire	Noun
Elect	élu	Noun
Elected	futur	Adjective
Elected	élu	Adjective
Election	l'élection	Noun
Election	l’élection	Noun
Election	élection	Noun
Election-Related	électoral	Adjective
Electoral	électoral	Adjective
Electric	électrique	Noun
Electrical	électrique	Noun
Electrical Technician	l'électricien	Noun
Electrician	l'électricien	Noun
Electrician	électricien	Noun
Electricity	électricité	Noun
Electro	la musique électronique	Noun
Electronic	électronique	Noun
Electronic	électroniques	Noun
Electronic Music	la musique électronique	Noun
Electronics	électronique	Noun
Elegant	gracieux	Adjective
Elegant	élégant	Adjective
Element	donnée	Noun
Elementary	primaire	Noun
Elementary	élémentaire	Noun
Elementary School	l'école primaire	Noun
Elementary School	école primaire	Noun
Elementary School Student	l'écolier	Noun
Elephant	l'éléphant	Noun
Elephant	éléphant	Noun
Elevated	supérieur	Adjective
Elevator	ascenseur	Noun
Elevator	l'ascenseur	Noun
Eleven	onze	Numeral
Eleventh	onze	Adjective
Eleventh	onzième	Adjective
Eleventh Grade	première	Noun
Elf	l'elfe	Noun
Eloquent	rhétorique	Adjective
Else	encore	Noun
Elsewhere	ailleurs	Adverb
Elves	lutins	Noun
Emaciated	émacié	Adjective
Email	contacterai	Noun
Email	courriel	Noun
Email	e-mail	Noun
Email	e-mails	Noun
Email	emails	Noun
Email	l'e	Noun
Email	l'e-mail	Noun
Email	l'email	Noun
Email	l’e	Noun
Email	mail	Noun
Emailing	envoie	Verb
Emailing	envoyer	Verb
Emailing	envoyé	Verb
Emails	e-mails	Noun
Embarrass	embarrasser	Noun
Embarrass	embarrasses	Noun
Embarrass	embarrassez	Noun
Embarrass	gêner	Noun
Embarrass	gênes	Noun
Embarrass	gênez	Noun
Embarrassed	gêner	Verb
Embarrassed	gêné	Verb
Embarrassing	embarrassant	Verb
Embarrassing	gênant	Verb
Embarrassment	gêne	Noun
Embassy	ambassade	Noun
Emblem	l'emblème	Noun
Embrace	embrasser	Noun
Emergency	d'urgence	Noun
Emergency	urgence	Noun
Emergency Exit	issue	Noun
Emergency Room	urgences	Noun
Emigration	l'émigration	Noun
Emotion	émotion	Noun
Emotional	affectif	Adjective
Emotional	sensible	Adjective
Emotional	émotif	Adjective
Emotional	émotionnel	Adjective
Emotional Moment	moment d'émotion	Noun
Emperor	empereur	Noun
Emperor	l'empereur	Noun
Emphasize	souligner	Noun
Employee	employé	Noun
Employee	employée	Noun
Employee	l'employé	Noun
Employer	d'entreprise	Noun
Employer	employeur	Noun
Employer	employeuse	Noun
Employer	l'employeur	Noun
Employer	l'entreprise	Noun
Employment	emploi	Noun
Employment	travail	Noun
Employment Interview	entretien d'embauche	Noun
Empress	l'impératrice	Noun
Empty	vide	Adjective
Empty	vider	Adjective
Empty Out	décharger	Noun
Empty Out	désemplir	Noun
Empty Out	vider	Noun
Empty Out	évacuer	Noun
Emptying	vider	Verb
Ems	ambulance	Noun
Enchantress	la fée	Noun
Enclose	inclure	Noun
Encounter	affrontement	Noun
Encounter	choc	Noun
Encounter	croiser	Noun
Encounter	essuyer	Noun
Encounter	rencontre	Noun
Encounter	rencontrer	Noun
Encounter	se heurter à	Noun
Encountering	croiser	Verb
Encountering	rencontrer	Verb
Encounters	rencontrer	Noun
Encourage	encourageaient	Noun
Encourage	encouragent	Noun
Encourage	encourageons	Noun
Encourage	encourager	Noun
Encourage	encourageront	Noun
Encourage	encourages	Noun
Encourage	encouragez	Noun
Encourage	encouragiez	Noun
Encourage	encouragée	Noun
Encourage	inspirent	Noun
Encourage	promouvoir	Noun
Encourage	promouvra	Noun
Encourage	promouvront	Noun
Encourage	réconforter	Noun
Encouraging	encourageant	Verb
End	achevée	Noun
End	achevés	Noun
End	bout	Noun
End	conclue	Noun
End	fin	Noun
End	finir	Noun
End	l'arrête	Noun
End	l'extrémité	Noun
End	l'issue	Noun
End	résiliées	Noun
End	s'arrêtent	Noun
End	s'arrêtera	Noun
End	s’arrête	Noun
End	terme	Noun
End	termina	Noun
End	terminent	Noun
End	terminés	Noun
End Up	finit	Noun
End Up	échouer	Noun
End Up In	aboutir à	Noun
Endangered	menacé	Verb
Endangered Area	l'espace menacé	Noun
Ending	fin	Noun
Endings	finale	Noun
Endless	interminable	Adjective
Ends	finit	Noun
Endurance	l'endurance	Noun
Enduring	endurant	Adjective
Enemy	ennemi	Noun
Enemy	l'adversaire	Noun
Enemy	l'ennemi	Noun
Enemy	l’ennemi	Noun
Energetic	dynamique	Adjective
Energy	l'énergie	Noun
Energy	énergie	Noun
Energy-Intensive	énergivore	Adjective
Engaged	embauché	Verb
Engaged	fiancé	Verb
Engaged	fiancée	Verb
Engaged	fiancées	Verb
Engaged	fiancés	Verb
Engaged	occupé	Verb
Engaged	occupée	Verb
Engaged	occupées	Verb
Engaged	occupés	Verb
Engaged	prise	Verb
Engagement	l'engagement	Noun
Engagement	les fiançailles	Noun
Engine	démarrer	Verb
Engine	moteur	Verb
Engine's	moteur	Noun
Engineer	ingénieur	Noun
Engineer	l'ingénieur	Noun
Engineering	construisant	Verb
Engineering	ingénierie	Verb
Engineering	ingénieur	Verb
England	Angleterre	Noun
England	l'Angleterre	Noun
English	anglais	Adjective
English	anglaise	Adjective
English	anglaises	Adjective
English	l'anglais	Noun
English Channel	manche	Noun
English Equivalents: Flood	l'inondation	Noun
English People	anglais	Noun
Englishman	anglais	Noun
Enhancement	l'amélioration	Noun
Enigmatic	mystérieux	Adjective
Enigmatic	énigmatique	Adjective
Enjoy	aime	Noun
Enjoy	aiment	Noun
Enjoy	aimes	Noun
Enjoy	appréciait	Noun
Enjoy	apprécier	Noun
Enjoy	apprécions	Noun
Enjoy	bonne dégustation	Noun
Enjoy	bénéficient	Noun
Enjoy	bénéficierez	Noun
Enjoy	j'adore	Noun
Enjoy	j'apprécie	Noun
Enjoy	j’apprécie	Noun
Enjoy	l'aime	Noun
Enjoy	l'aimes	Noun
Enjoy	l'aimez	Noun
Enjoy	l'aimons	Noun
Enjoy	l'appréciais	Noun
Enjoy	l'apprécie	Noun
Enjoy	l'apprécierez	Noun
Enjoy	likes	Noun
Enjoy	l’aiment	Noun
Enjoy	l’aimes	Noun
Enjoy	l’apprécie	Noun
Enjoy	l’apprécies	Noun
Enjoy	m'amuse	Noun
Enjoy	m'amuserai	Noun
Enjoy	m'amuserais	Noun
Enjoy	n'aime	Noun
Enjoy	n'aiment	Noun
Enjoy	n'aimera	Noun
Enjoy	n'aimerais	Noun
Enjoy	n'aimes	Noun
Enjoy	n'aimez	Noun
Enjoy	n'aimions	Noun
Enjoy	n'aimons	Noun
Enjoy	n’aimais	Noun
